query_id,client_ip,server_ip,query_name,query_type,response_code,payload_size_bytes,entropy,is_tunneling,tunneling_score,timestamp,metadata
dns_tunnel_08ab_0010,192.168.1.88,185.220.101.44,08ab.seq010.ifgfgx2dj5hemskeivhfiskbjrpustsuivje4qkml5ceex2ekvgq.tunnel.c2exfil-network.org,A,NOERROR,155,4.75,True,0.9886,2026-08-27T14:15:10.628605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 10, ""total_chunks"": 600, ""chunk_entropy"": 4.75}"
dns_tunnel_08ab_0011,192.168.1.88,185.220.101.44,08ab.seq011.kbpviqkcjrcv6vktivjfgx2dkjcuirkokreuctctl5bu6tsgjfca.tunnel.c2exfil-network.org,CNAME,NOERROR,155,4.6817,True,0.9445,2026-08-27T14:15:10.710605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 11, ""total_chunks"": 600, ""chunk_entropy"": 4.6817}"
dns_tunnel_08ab_0012,192.168.1.88,185.220.101.44,08ab.seq012.ivhfiskbjrpustsuivje4qkml5ceex2ekvgvax2uifbeyrk7kvjq.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.7616,True,0.9628,2026-08-27T14:15:10.878605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 12, ""total_chunks"": 600, ""chunk_entropy"": 4.7616}"
dns_tunnel_08ab_0013,192.168.1.88,185.220.101.44,08ab.seq013.ivjfgx2dkjcuirkokreuctctl5bu6tsgjfcektsujfauyx2jjzka.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.7104,True,0.9827,2026-08-27T14:15:10.981605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 13, ""total_chunks"": 600, ""chunk_entropy"": 4.7104}"
dns_tunnel_08ab_0014,192.168.1.88,185.220.101.44,08ab.seq014.ivje4qkml5ceex2ekvgvax2uifbeyrk7kvjukustl5bverkeivha.tunnel.c2exfil-network.org,A,NOERROR,155,4.6907,True,0.992,2026-08-27T14:15:11.198605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 14, ""total_chunks"": 600, ""chunk_entropy"": 4.6907}"
dns_tunnel_08ab_0015,192.168.1.88,185.220.101.44,08ab.seq015.kreuctctl5bu6tsgjfcektsujfauyx2jjzkekusoifgf6rccl5ca.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.6075,True,0.9573,2026-08-27T14:15:11.276605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 15, ""total_chunks"": 600, ""chunk_entropy"": 4.6075}"
dns_tunnel_08ab_0016,192.168.1.88,185.220.101.44,08ab.seq016.kvgvax2uifbeyrk7kvjukustl5bverkeivhfiskbjrjv6q2pjzda.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.801,True,0.9209,2026-08-27T14:15:11.496605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 16, ""total_chunks"": 600, ""chunk_entropy"": 4.801}"
dns_tunnel_08ab_0017,192.168.1.88,185.220.101.44,08ab.seq017.jfcektsujfauyx2jjzkekusoifgf6rccl5cfktkql5kecqsmivpq.tunnel.c2exfil-network.org,A,NOERROR,155,4.7391,True,0.9315,2026-08-27T14:15:11.567605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 17, ""total_chunks"": 600, ""chunk_entropy"": 4.7391}"
dns_tunnel_08ab_0018,192.168.1.88,185.220.101.44,08ab.seq018.kvjukustl5bverkeivhfiskbjrjv6q2pjzdesrcfjzkesqkml5eq.tunnel.c2exfil-network.org,CNAME,NOERROR,155,4.7369,True,0.946,2026-08-27T14:15:11.615605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 18, ""total_chunks"": 600, ""chunk_entropy"": 4.7369}"
dns_tunnel_08ab_0019,192.168.1.88,185.220.101.44,08ab.seq019.jzkekusoifgf6rccl5cfktkql5kecqsmivpvku2fkjjv6q2sivca.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.7328,True,0.9373,2026-08-27T14:15:11.814605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 19, ""total_chunks"": 600, ""chunk_entropy"": 4.7328}"
dns_tunnel_08ab_0020,192.168.1.88,185.220.101.44,08ab.seq020.ivhfiskbjrjv6q2pjzdesrcfjzkesqkml5eu4vcfkjhectc7irba.tunnel.c2exfil-network.org,A,NOERROR,155,4.8145,True,0.9932,2026-08-27T14:15:11.873605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 20, ""total_chunks"": 600, ""chunk_entropy"": 4.8145}"
dns_tunnel_08ab_0021,192.168.1.88,185.220.101.44,08ab.seq021.l5cfktkql5kecqsmivpvku2fkjjv6q2sivcektsujfauyu27inhq.tunnel.c2exfil-network.org,CNAME,NOERROR,155,4.7457,True,0.9822,2026-08-27T14:15:11.997605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 21, ""total_chunks"": 600, ""chunk_entropy"": 4.7457}"
dns_tunnel_08ab_0022,192.168.1.88,185.220.101.44,08ab.seq022.jzdesrcfjzkesqkml5eu4vcfkjhectc7irbf6rcvjvif6vcbijga.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.7647,True,0.9773,2026-08-27T14:15:12.200605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 22, ""total_chunks"": 600, ""chunk_entropy"": 4.7647}"
dns_tunnel_08ab_0023,192.168.1.88,185.220.101.44,08ab.seq023.ivpvku2fkjjv6q2sivcektsujfauyu27inhu4rsjircu4vcjifga.tunnel.c2exfil-network.org,A,NOERROR,155,4.7197,True,0.9463,2026-08-27T14:15:12.312605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 23, ""total_chunks"": 600, ""chunk_entropy"": 4.7197}"
dns_tunnel_08ab_0024,192.168.1.88,185.220.101.44,08ab.seq024.l5eu4vcfkjhectc7irbf6rcvjvif6vcbijgekx2vkncveu27inja.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.6505,True,0.9853,2026-08-27T14:15:12.521605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 24, ""total_chunks"": 600, ""chunk_entropy"": 4.6505}"
dns_tunnel_08ab_0025,192.168.1.88,185.220.101.44,08ab.seq025.ivcektsujfauyu27inhu4rsjircu4vcjifgf6skokrcvetsbjrpq.tunnel.c2exfil-network.org,A,NOERROR,155,4.736,True,0.9597,2026-08-27T14:15:12.641605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 25, ""total_chunks"": 600, ""chunk_entropy"": 4.736}"
dns_tunnel_08ab_0026,192.168.1.88,185.220.101.44,08ab.seq026.irbf6rcvjvif6vcbijgekx2vkncveu27injekrcfjzkesqkmknpq.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.6235,True,0.9761,2026-08-27T14:15:12.850605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 26, ""total_chunks"": 600, ""chunk_entropy"": 4.6235}"
dns_tunnel_08ab_0027,192.168.1.88,185.220.101.44,08ab.seq027.inhu4rsjircu4vcjifgf6skokrcvetsbjrpuiqs7irku2uc7kraq.tunnel.c2exfil-network.org,CNAME,NOERROR,155,4.6578,True,0.9547,2026-08-27T14:15:12.909605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 27, ""total_chunks"": 600, ""chunk_entropy"": 4.6578}"
dns_tunnel_08ab_0028,192.168.1.88,185.220.101.44,08ab.seq028.ijgekx2vkncveu27injekrcfjzkesqkmknpugt2oizeuirkokreq.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.5356,True,0.9414,2026-08-27T14:15:12.953605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 28, ""total_chunks"": 600, ""chunk_entropy"": 4.5356}"
dns_tunnel_08ab_0029,192.168.1.88,185.220.101.44,08ab.seq029.ifgf6skokrcvetsbjrpuiqs7irku2uc7krauetcfl5kvgrksknpq.tunnel.c2exfil-network.org,CNAME,NOERROR,155,4.6422,True,0.9867,2026-08-27T14:15:13.083605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 29, ""total_chunks"": 600, ""chunk_entropy"": 4.6422}"
dns_tunnel_08ab_0030,192.168.1.88,185.220.101.44,08ab.seq030.injekrcfjzkesqkmknpugt2oizeuirkokreuctc7jfhfirksjzaq.tunnel.c2exfil-network.org,CNAME,NOERROR,155,4.6028,True,0.9409,2026-08-27T14:15:13.220605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 30, ""total_chunks"": 600, ""chunk_entropy"": 4.6028}"
dns_tunnel_08ab_0031,192.168.1.88,185.220.101.44,08ab.seq031.jrpuiqs7irku2uc7krauetcfl5kvgrksknpugusfircu4vcjifga.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.6631,True,0.9712,2026-08-27T14:15:13.377605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 31, ""total_chunks"": 600, ""chunk_entropy"": 4.6631}"
dns_tunnel_08ab_0032,192.168.1.88,185.220.101.44,08ab.seq032.knpugt2oizeuirkokreuctc7jfhfirksjzauyx2eijpuivknkbpq.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.6817,True,0.9704,2026-08-27T14:15:13.472605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 32, ""total_chunks"": 600, ""chunk_entropy"": 4.6817}"
dns_tunnel_08ab_0033,192.168.1.88,185.220.101.44,08ab.seq033.krauetcfl5kvgrksknpugusfircu4vcjifgfgx2dj5hemskeivha.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.747,True,0.9737,2026-08-27T14:15:13.587605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 33, ""total_chunks"": 600, ""chunk_entropy"": 4.747}"
dns_tunnel_08ab_0034,192.168.1.88,185.220.101.44,08ab.seq034.kreuctc7jfhfirksjzauyx2eijpuivknkbpviqkcjrcv6vktivja.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.747,True,0.9854,2026-08-27T14:15:13.690605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 34, ""total_chunks"": 600, ""chunk_entropy"": 4.747}"
dns_tunnel_08ab_0035,192.168.1.88,185.220.101.44,08ab.seq035.knpugusfircu4vcjifgfgx2dj5hemskeivhfiskbjrpustsuivja.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.7548,True,0.9758,2026-08-27T14:15:13.821605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 35, ""total_chunks"": 600, ""chunk_entropy"": 4.7548}"
dns_tunnel_08ab_0036,192.168.1.88,185.220.101.44,08ab.seq036.jzauyx2eijpuivknkbpviqkcjrcv6vktivjfgx2dkjcuirkokreq.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.6921,True,0.9849,2026-08-27T14:15:14.039605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 36, ""total_chunks"": 600, ""chunk_entropy"": 4.6921}"
dns_tunnel_08ab_0037,192.168.1.88,185.220.101.44,08ab.seq037.ifgfgx2dj5hemskeivhfiskbjrpustsuivje4qkml5ceex2ekvgq.tunnel.c2exfil-network.org,CNAME,NOERROR,155,4.7802,True,0.936,2026-08-27T14:15:14.156605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 37, ""total_chunks"": 600, ""chunk_entropy"": 4.7802}"
dns_tunnel_08ab_0038,192.168.1.88,185.220.101.44,08ab.seq038.kbpviqkcjrcv6vktivjfgx2dkjcuirkokreuctctl5bu6tsgjfca.tunnel.c2exfil-network.org,CNAME,NOERROR,155,4.6817,True,0.9259,2026-08-27T14:15:14.372605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 38, ""total_chunks"": 600, ""chunk_entropy"": 4.6817}"
dns_tunnel_08ab_0039,192.168.1.88,185.220.101.44,08ab.seq039.ivhfiskbjrpustsuivje4qkml5ceex2ekvgvax2uifbeyrk7kvjq.tunnel.c2exfil-network.org,A,NOERROR,155,4.7972,True,0.9843,2026-08-27T14:15:14.481605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 39, ""total_chunks"": 600, ""chunk_entropy"": 4.7972}"
dns_tunnel_08ab_0040,192.168.1.88,185.220.101.44,08ab.seq040.ivjfgx2dkjcuirkokreuctctl5bu6tsgjfcektsujfauyx2jjzka.tunnel.c2exfil-network.org,CNAME,NOERROR,155,4.6801,True,0.9371,2026-08-27T14:15:14.647605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 40, ""total_chunks"": 600, ""chunk_entropy"": 4.6801}"
dns_tunnel_08ab_0041,192.168.1.88,185.220.101.44,08ab.seq041.ivje4qkml5ceex2ekvgvax2uifbeyrk7kvjukustl5bverkeivha.tunnel.c2exfil-network.org,CNAME,NOERROR,155,4.6907,True,0.9543,2026-08-27T14:15:14.699605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 41, ""total_chunks"": 600, ""chunk_entropy"": 4.6907}"
dns_tunnel_08ab_0042,192.168.1.88,185.220.101.44,08ab.seq042.kreuctctl5bu6tsgjfcektsujfauyx2jjzkekusoifgf6rccl5ca.tunnel.c2exfil-network.org,A,NOERROR,155,4.6075,True,0.9215,2026-08-27T14:15:14.763605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 42, ""total_chunks"": 600, ""chunk_entropy"": 4.6075}"
dns_tunnel_08ab_0043,192.168.1.88,185.220.101.44,08ab.seq043.kvgvax2uifbeyrk7kvjukustl5bverkeivhfiskbjrjv6q2pjzda.tunnel.c2exfil-network.org,CNAME,NOERROR,155,4.823,True,0.9734,2026-08-27T14:15:14.822605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 43, ""total_chunks"": 600, ""chunk_entropy"": 4.823}"
dns_tunnel_08ab_0044,192.168.1.88,185.220.101.44,08ab.seq044.jfcektsujfauyx2jjzkekusoifgf6rccl5cfktkql5kecqsmivpq.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.7171,True,0.988,2026-08-27T14:15:14.963605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 44, ""total_chunks"": 600, ""chunk_entropy"": 4.7171}"
dns_tunnel_08ab_0045,192.168.1.88,185.220.101.44,08ab.seq045.kvjukustl5bverkeivhfiskbjrjv6q2pjzdesrcfjzkesqkml5eq.tunnel.c2exfil-network.org,A,NOERROR,155,4.7286,True,0.987,2026-08-27T14:15:15.044605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 45, ""total_chunks"": 600, ""chunk_entropy"": 4.7286}"
dns_tunnel_08ab_0046,192.168.1.88,185.220.101.44,08ab.seq046.jzkekusoifgf6rccl5cfktkql5kecqsmivpvku2fkjjv6q2sivca.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.7025,True,0.9853,2026-08-27T14:15:15.132605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 46, ""total_chunks"": 600, ""chunk_entropy"": 4.7025}"
dns_tunnel_08ab_0047,192.168.1.88,185.220.101.44,08ab.seq047.ivhfiskbjrjv6q2pjzdesrcfjzkesqkml5eu4vcfkjhectc7irba.tunnel.c2exfil-network.org,A,NOERROR,155,4.8311,True,0.9206,2026-08-27T14:15:15.344605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 47, ""total_chunks"": 600, ""chunk_entropy"": 4.8311}"
dns_tunnel_08ab_0048,192.168.1.88,185.220.101.44,08ab.seq048.l5cfktkql5kecqsmivpvku2fkjjv6q2sivcektsujfauyu27inhq.tunnel.c2exfil-network.org,CNAME,NOERROR,155,4.7633,True,0.977,2026-08-27T14:15:15.394605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 48, ""total_chunks"": 600, ""chunk_entropy"": 4.7633}"
dns_tunnel_08ab_0049,192.168.1.88,185.220.101.44,08ab.seq049.jzdesrcfjzkesqkml5eu4vcfkjhectc7irbf6rcvjvif6vcbijga.tunnel.c2exfil-network.org,CNAME,NOERROR,155,4.795,True,0.936,2026-08-27T14:15:15.554605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 49, ""total_chunks"": 600, ""chunk_entropy"": 4.795}"
dns_tunnel_08ab_0050,192.168.1.88,185.220.101.44,08ab.seq050.ivpvku2fkjjv6q2sivcektsujfauyu27inhu4rsjircu4vcjifga.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.7291,True,0.9391,2026-08-27T14:15:15.635605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 50, ""total_chunks"": 600, ""chunk_entropy"": 4.7291}"
dns_tunnel_08ab_0051,192.168.1.88,185.220.101.44,08ab.seq051.l5eu4vcfkjhectc7irbf6rcvjvif6vcbijgekx2vkncveu27inja.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.6862,True,0.9831,2026-08-27T14:15:15.772605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 51, ""total_chunks"": 600, ""chunk_entropy"": 4.6862}"
dns_tunnel_08ab_0052,192.168.1.88,185.220.101.44,08ab.seq052.ivcektsujfauyu27inhu4rsjircu4vcjifgf6skokrcvetsbjrpq.tunnel.c2exfil-network.org,CNAME,NOERROR,155,4.736,True,0.9377,2026-08-27T14:15:15.901605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 52, ""total_chunks"": 600, ""chunk_entropy"": 4.736}"
dns_tunnel_08ab_0053,192.168.1.88,185.220.101.44,08ab.seq053.irbf6rcvjvif6vcbijgekx2vkncveu27injekrcfjzkesqkmknpq.tunnel.c2exfil-network.org,CNAME,NOERROR,155,4.6894,True,0.9584,2026-08-27T14:15:16.022605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 53, ""total_chunks"": 600, ""chunk_entropy"": 4.6894}"
dns_tunnel_08ab_0054,192.168.1.88,185.220.101.44,08ab.seq054.inhu4rsjircu4vcjifgf6skokrcvetsbjrpuiqs7irku2uc7kraq.tunnel.c2exfil-network.org,CNAME,NOERROR,155,4.688,True,0.9656,2026-08-27T14:15:16.131605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 54, ""total_chunks"": 600, ""chunk_entropy"": 4.688}"
dns_tunnel_08ab_0055,192.168.1.88,185.220.101.44,08ab.seq055.ijgekx2vkncveu27injekrcfjzkesqkmknpugt2oizeuirkokreq.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.5752,True,0.9469,2026-08-27T14:15:16.274605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 55, ""total_chunks"": 600, ""chunk_entropy"": 4.5752}"
dns_tunnel_08ab_0056,192.168.1.88,185.220.101.44,08ab.seq056.ifgf6skokrcvetsbjrpuiqs7irku2uc7krauetcfl5kvgrksknpq.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.6286,True,0.9591,2026-08-27T14:15:16.361605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 56, ""total_chunks"": 600, ""chunk_entropy"": 4.6286}"
dns_tunnel_08ab_0057,192.168.1.88,185.220.101.44,08ab.seq057.injekrcfjzkesqkmknpugt2oizeuirkokreuctc7jfhfirksjzaq.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.6111,True,0.9419,2026-08-27T14:15:16.415605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 57, ""total_chunks"": 600, ""chunk_entropy"": 4.6111}"
dns_tunnel_08ab_0058,192.168.1.88,185.220.101.44,08ab.seq058.jrpuiqs7irku2uc7krauetcfl5kvgrksknpugusfircu4vcjifga.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.6192,True,0.9517,2026-08-27T14:15:16.535605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 58, ""total_chunks"": 600, ""chunk_entropy"": 4.6192}"
dns_tunnel_08ab_0059,192.168.1.88,185.220.101.44,08ab.seq059.knpugt2oizeuirkokreuctc7jfhfirksjzauyx2eijpuivknkbpq.tunnel.c2exfil-network.org,A,NOERROR,155,4.7174,True,0.986,2026-08-27T14:15:16.615605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 59, ""total_chunks"": 600, ""chunk_entropy"": 4.7174}"
dns_tunnel_08ab_0060,192.168.1.88,185.220.101.44,08ab.seq060.krauetcfl5kvgrksknpugusfircu4vcjifgfgx2dj5hemskeivha.tunnel.c2exfil-network.org,CNAME,NOERROR,155,4.7387,True,0.9768,2026-08-27T14:15:16.692605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 60, ""total_chunks"": 600, ""chunk_entropy"": 4.7387}"
dns_tunnel_08ab_0061,192.168.1.88,185.220.101.44,08ab.seq061.kreuctc7jfhfirksjzauyx2eijpuivknkbpviqkcjrcv6vktivja.tunnel.c2exfil-network.org,A,NOERROR,155,4.7251,True,0.9654,2026-08-27T14:15:16.884605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 61, ""total_chunks"": 600, ""chunk_entropy"": 4.7251}"
dns_tunnel_08ab_0062,192.168.1.88,185.220.101.44,08ab.seq062.knpugusfircu4vcjifgfgx2dj5hemskeivhfiskbjrpustsuivja.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.7465,True,0.9629,2026-08-27T14:15:16.956605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 62, ""total_chunks"": 600, ""chunk_entropy"": 4.7465}"
dns_tunnel_08ab_0063,192.168.1.88,185.220.101.44,08ab.seq063.jzauyx2eijpuivknkbpviqkcjrcv6vktivjfgx2dkjcuirkokreq.tunnel.c2exfil-network.org,CNAME,NOERROR,155,4.6921,True,0.9509,2026-08-27T14:15:17.065605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 63, ""total_chunks"": 600, ""chunk_entropy"": 4.6921}"
