domain_id,domain,family,entropy,vowel_ratio,length,is_dga,confidence,dga_source
dga_00018,klitudylmlghmb.ru,cryptolocker,3.5725,0.1875,17,True,0.985,DGArchive / Cryptolocker Research
dga_00019,ktelulczmxsra.org,cryptolocker,3.8522,0.25,17,True,0.985,DGArchive / Cryptolocker Research
dga_00020,luduradglibgfotkx.co.uk,cryptolocker,3.7951,0.3333,23,True,0.985,DGArchive / Cryptolocker Research
dga_00021,ezclovsronupydqbe.info,cryptolocker,4.0615,0.3333,22,True,0.985,DGArchive / Cryptolocker Research
dga_00022,lkfapexcjsjcryjana.com,cryptolocker,3.811,0.2381,22,True,0.985,DGArchive / Cryptolocker Research
dga_00023,zinqnevadibib.net,cryptolocker,3.2928,0.375,17,True,0.985,DGArchive / Cryptolocker Research
dga_00024,gjijqfotwpidsh.biz,cryptolocker,3.7947,0.2353,18,True,0.985,DGArchive / Cryptolocker Research
dga_00025,klshkzsfgvglgpar.ru,cryptolocker,3.5766,0.1111,19,True,0.985,DGArchive / Cryptolocker Research
dga_00026,mbudglidkvwjeh.org,cryptolocker,3.9477,0.2353,18,True,0.985,DGArchive / Cryptolocker Research
dga_00027,upehmzmbejyrwb.co.uk,cryptolocker,3.8219,0.2778,20,True,0.985,DGArchive / Cryptolocker Research
dga_00028,wvwpktedefgzinshst.info,cryptolocker,3.9149,0.2273,23,True,0.985,DGArchive / Cryptolocker Research
dga_00029,qzglwpwpyvulgjknuz.com,cryptolocker,3.914,0.1429,22,True,0.985,DGArchive / Cryptolocker Research
dga_00030,wjkrirsbunmhqful.net,cryptolocker,4.0219,0.2105,20,True,0.985,DGArchive / Cryptolocker Research
dga_00031,itabmxifodij.biz,cryptolocker,3.375,0.4,16,True,0.985,DGArchive / Cryptolocker Research
dga_00032,mhotolsjehafcrshs.ru,cryptolocker,3.6464,0.2632,20,True,0.985,DGArchive / Cryptolocker Research
dga_00033,zorajmjgxktutixe.org,cryptolocker,3.7219,0.3158,20,True,0.985,DGArchive / Cryptolocker Research
dga_00034,pejutwrgtivy.co.uk,cryptolocker,3.8366,0.3125,18,True,0.985,DGArchive / Cryptolocker Research
dga_00035,jofcpgxivirmpmd.info,cryptolocker,3.6842,0.2632,20,True,0.985,DGArchive / Cryptolocker Research
dga_00036,utezopirorgj.com,cryptolocker,3.5778,0.4,16,True,0.985,DGArchive / Cryptolocker Research
dga_00037,mhubahkdydex.net,cryptolocker,3.625,0.2667,16,True,0.985,DGArchive / Cryptolocker Research
dga_00038,ibahovspkdyvclw.biz,cryptolocker,3.9321,0.2222,19,True,0.985,DGArchive / Cryptolocker Research
dga_00039,nqpofybolqlkfwrob.ru,cryptolocker,3.5842,0.2105,20,True,0.985,DGArchive / Cryptolocker Research
dga_00040,mholebehkzkrkdkxon.org,cryptolocker,3.6069,0.2381,22,True,0.985,DGArchive / Cryptolocker Research
dga_00041,adwfuhwfuxozqngzip.co.uk,cryptolocker,3.9702,0.3182,24,True,0.985,DGArchive / Cryptolocker Research
dga_00042,ivypcvwtgjwto.info,cryptolocker,3.6144,0.2353,18,True,0.985,DGArchive / Cryptolocker Research
dga_00043,rezunmlmfqjyxo.com,cryptolocker,3.7947,0.2353,18,True,0.985,DGArchive / Cryptolocker Research
dga_00044,rsfihclerspunuvsl.net,cryptolocker,3.6897,0.25,21,True,0.985,DGArchive / Cryptolocker Research
dga_00045,mnkzmtufwpide.biz,cryptolocker,3.7345,0.25,17,True,0.985,DGArchive / Cryptolocker Research
dga_00046,vqxobwduzwfa.ru,cryptolocker,3.6402,0.2857,15,True,0.985,DGArchive / Cryptolocker Research
dga_00047,lmnezuzydcdwlqrgrq.org,cryptolocker,3.7888,0.1429,22,True,0.985,DGArchive / Cryptolocker Research
dga_00048,vsjwzihwvynyp.co.uk,cryptolocker,3.8269,0.1765,19,True,0.985,DGArchive / Cryptolocker Research
dga_00049,ozijyfoxirmvc.info,cryptolocker,3.5305,0.3529,18,True,0.985,DGArchive / Cryptolocker Research
dga_00050,balqdybapkdgrqdk.com,cryptolocker,3.6842,0.1579,20,True,0.985,DGArchive / Cryptolocker Research
dga_00051,vmrqborwnsluxcho.net,cryptolocker,4.0219,0.2105,20,True,0.985,DGArchive / Cryptolocker Research
dga_00052,vatmdanapingr.biz,cryptolocker,3.5725,0.3125,17,True,0.985,DGArchive / Cryptolocker Research
dga_00053,wzcpkzgxsjsbs.ru,cryptolocker,3.5778,0.0667,16,True,0.985,DGArchive / Cryptolocker Research
dga_00054,hcpwbwtkjidebslqpa.org,cryptolocker,4.1867,0.1905,22,True,0.985,DGArchive / Cryptolocker Research
dga_00055,twjghoncfqdure.co.uk,cryptolocker,3.9219,0.2778,20,True,0.985,DGArchive / Cryptolocker Research
dga_00056,xsfkrwxcrcteti.info,cryptolocker,3.6163,0.2222,19,True,0.985,DGArchive / Cryptolocker Research
dga_00057,vknwbkjkjubqv.com,cryptolocker,3.4548,0.125,17,True,0.985,DGArchive / Cryptolocker Research
dga_00058,ydkzofwhorozypqf.net,cryptolocker,3.7842,0.2105,20,True,0.985,DGArchive / Cryptolocker Research
dga_00059,alihodytsdczcxy.biz,cryptolocker,3.7216,0.2222,19,True,0.985,DGArchive / Cryptolocker Research
dga_00060,bmlcpgtovwvgrwvmzq.ru,cryptolocker,3.7849,0.1,21,True,0.985,DGArchive / Cryptolocker Research
dga_00061,jmlcrapgxedex.org,cryptolocker,3.6169,0.25,17,True,0.985,DGArchive / Cryptolocker Research
dga_00062,ynqbsxwrmfcxkjq.co.uk,cryptolocker,3.9161,0.1053,21,True,0.985,DGArchive / Cryptolocker Research
dga_00063,nwtapqlwfqnkd.info,cryptolocker,3.5724,0.1765,18,True,0.985,DGArchive / Cryptolocker Research
dga_00064,utwlefkjibqtybuxsl.com,cryptolocker,4.0958,0.2381,22,True,0.985,DGArchive / Cryptolocker Research
dga_00065,ahqrsrypudaxofipw.net,cryptolocker,4.1066,0.3,21,True,0.985,DGArchive / Cryptolocker Research
dga_00066,ryjatadyfclovaz.biz,cryptolocker,3.7871,0.2778,19,True,0.985,DGArchive / Cryptolocker Research
dga_00067,qrojytutstglytef.ru,cryptolocker,3.5111,0.2222,19,True,0.985,DGArchive / Cryptolocker Research
dga_00068,yhktgpidgdutwr.org,cryptolocker,3.5724,0.1765,18,True,0.985,DGArchive / Cryptolocker Research
dga_00069,qdipylgnqvmrwdyhc.co.uk,cryptolocker,4.0888,0.1429,23,True,0.985,DGArchive / Cryptolocker Research
dga_00070,bsjcholavuxopmrun.info,cryptolocker,4.0615,0.3333,22,True,0.985,DGArchive / Cryptolocker Research
dga_00071,slyfmlilwfklspejyx.com,cryptolocker,3.7322,0.1429,22,True,0.985,DGArchive / Cryptolocker Research
dga_00072,qhoxurutqdodabmpk.net,cryptolocker,3.9161,0.3,21,True,0.985,DGArchive / Cryptolocker Research
dga_00073,fgfwfqjwbqpkhehel.biz,cryptolocker,3.6897,0.15,21,True,0.985,DGArchive / Cryptolocker Research
dga_00074,ktyfmjcrwlgdep.ru,cryptolocker,3.9698,0.125,17,True,0.985,DGArchive / Cryptolocker Research
dga_00075,uformlmnebqd.org,cryptolocker,3.625,0.2667,16,True,0.985,DGArchive / Cryptolocker Research
dga_00076,krapovyvstgzmzo.co.uk,cryptolocker,3.7849,0.2632,21,True,0.985,DGArchive / Cryptolocker Research
dga_00077,zkfkvilsrqjcxw.info,cryptolocker,3.9321,0.1667,19,True,0.985,DGArchive / Cryptolocker Research
dga_00078,tgfqncjkvgbsjank.com,cryptolocker,3.8219,0.1053,20,True,0.985,DGArchive / Cryptolocker Research
dga_00079,dilulsfclqdyzgb.net,cryptolocker,3.8924,0.1667,19,True,0.985,DGArchive / Cryptolocker Research
dga_00080,gbgzafwxcdyjqbenw.biz,cryptolocker,3.8802,0.15,21,True,0.985,DGArchive / Cryptolocker Research
dga_00081,pelsxqjubqdg.ru,cryptolocker,3.6402,0.2143,15,True,0.985,DGArchive / Cryptolocker Research
dga_00082,hmlizyrmlwxqvcxmrs.org,cryptolocker,3.8454,0.0952,22,True,0.985,DGArchive / Cryptolocker Research
dga_00083,bsburynqfurqvuxkv.co.uk,cryptolocker,3.654,0.2381,23,True,0.985,DGArchive / Cryptolocker Research
dga_00084,uxgnmlovwfix.info,cryptolocker,3.4992,0.3125,17,True,0.985,DGArchive / Cryptolocker Research
dga_00085,ovutqtgbkzgperw.com,cryptolocker,3.9321,0.2222,19,True,0.985,DGArchive / Cryptolocker Research
dga_00086,nunqtatmzmlktg.net,cryptolocker,3.3502,0.1765,18,True,0.985,DGArchive / Cryptolocker Research
dga_00087,dqpcbixwbylczs.biz,cryptolocker,3.5724,0.1176,18,True,0.985,DGArchive / Cryptolocker Research
dga_00088,twbelspqfgngl.ru,cryptolocker,3.75,0.1333,16,True,0.985,DGArchive / Cryptolocker Research
dga_00089,ajufyrmlytolk.org,cryptolocker,3.6169,0.25,17,True,0.985,DGArchive / Cryptolocker Research
dga_00090,tyzkxqpkdsbmh.co.uk,cryptolocker,3.8924,0.1176,19,True,0.985,DGArchive / Cryptolocker Research
dga_00091,axktypgdajyfw.info,cryptolocker,3.8366,0.2353,18,True,0.985,DGArchive / Cryptolocker Research
dga_00092,vwbgtabstwbg.com,cryptolocker,3.3278,0.1333,16,True,0.985,DGArchive / Cryptolocker Research
dga_00093,nalezwtedyhebgnqzw.net,cryptolocker,3.6069,0.2381,22,True,0.985,DGArchive / Cryptolocker Research
dga_00094,pglybovelexgnwtwz.biz,cryptolocker,3.8209,0.2,21,True,0.985,DGArchive / Cryptolocker Research
dga_00095,srgzqrgfapixsncxmv.ru,cryptolocker,3.8802,0.15,21,True,0.985,DGArchive / Cryptolocker Research
dga_00096,mngnaruvmhwvoza.org,cryptolocker,3.5111,0.2778,19,True,0.985,DGArchive / Cryptolocker Research
dga_00097,zytszkdgdcvs.co.uk,cryptolocker,3.5033,0.125,18,True,0.985,DGArchive / Cryptolocker Research
dga_00098,vspavajivkzgz.info,cryptolocker,3.5724,0.2941,18,True,0.985,DGArchive / Cryptolocker Research
dga_00099,ufmdqdgrotwdcv.com,cryptolocker,3.5724,0.1765,18,True,0.985,DGArchive / Cryptolocker Research
dga_00100,ynklwpmnqfizstaxa.net,cryptolocker,3.9754,0.2,21,True,0.985,DGArchive / Cryptolocker Research
dga_00101,tsxylclwralktsnqxg.biz,cryptolocker,3.9706,0.0952,22,True,0.985,DGArchive / Cryptolocker Research
dga_00102,xixyvobgxcteh.ru,cryptolocker,3.7028,0.2667,16,True,0.985,DGArchive / Cryptolocker Research
dga_00103,wvsvmfadaxifqbqri.org,cryptolocker,3.8209,0.25,21,True,0.985,DGArchive / Cryptolocker Research
dga_00104,jyzglkzuhchkrw.co.uk,cryptolocker,3.5842,0.1667,20,True,0.985,DGArchive / Cryptolocker Research
dga_00105,hcvslgnwzcnudyxq.info,cryptolocker,4.0707,0.15,21,True,0.985,DGArchive / Cryptolocker Research
dga_00106,hofwrytuvkdc.com,cryptolocker,3.75,0.2,16,True,0.985,DGArchive / Cryptolocker Research
dga_00107,jifwnkpsvkzy.net,cryptolocker,3.75,0.1333,16,True,0.985,DGArchive / Cryptolocker Research
dga_00108,zeryjopilirsjknun.biz,cryptolocker,3.7849,0.3,21,True,0.985,DGArchive / Cryptolocker Research
dga_00109,ctazqrqxczebaxkjs.ru,cryptolocker,3.7219,0.2105,20,True,0.985,DGArchive / Cryptolocker Research
dga_00110,rkrqhcvahkrslsren.org,cryptolocker,3.5538,0.15,21,True,0.985,DGArchive / Cryptolocker Research
dga_00111,qxctmpqxmbezyzovg.co.uk,cryptolocker,3.9149,0.1905,23,True,0.985,DGArchive / Cryptolocker Research
dga_00112,tklahqlctcrub.info,cryptolocker,3.8366,0.2353,18,True,0.985,DGArchive / Cryptolocker Research
dga_00113,gtaxivgfkpkl.com,cryptolocker,3.75,0.2,16,True,0.985,DGArchive / Cryptolocker Research
dga_00114,yrcverofahwdkvcx.net,cryptolocker,3.9219,0.2105,20,True,0.985,DGArchive / Cryptolocker Research
dga_00115,ktuzmdkhazqt.biz,cryptolocker,3.4528,0.2,16,True,0.985,DGArchive / Cryptolocker Research
dga_00116,wzwvkdyhkrsns.ru,cryptolocker,3.5,0.0667,16,True,0.985,DGArchive / Cryptolocker Research
dga_00117,rexkfwzsdizibi.org,cryptolocker,3.6835,0.2941,18,True,0.985,DGArchive / Cryptolocker Research
dga_00118,nsvyjencpmtmbmpivm.co.uk,cryptolocker,3.835,0.1818,24,True,0.985,DGArchive / Cryptolocker Research
dga_00119,zapshkxarqxy.info,cryptolocker,3.8522,0.25,17,True,0.985,DGArchive / Cryptolocker Research
dga_00120,lkrcjgrwlkbaxih.com,cryptolocker,3.8269,0.1667,19,True,0.985,DGArchive / Cryptolocker Research
dga_00121,idefkbolizmfgxq.net,cryptolocker,3.9321,0.2778,19,True,0.985,DGArchive / Cryptolocker Research
dga_00122,bwxqvsnityfkheh.biz,cryptolocker,3.9321,0.1667,19,True,0.985,DGArchive / Cryptolocker Research
dga_00123,ujebkpqrgbihm.ru,cryptolocker,3.625,0.2667,16,True,0.985,DGArchive / Cryptolocker Research
dga_00124,pgxezcjevapuvwjafq.org,cryptolocker,3.914,0.2857,22,True,0.985,DGArchive / Cryptolocker Research
dga_00125,hazsjevavonohs.co.uk,cryptolocker,3.5842,0.3889,20,True,0.985,DGArchive / Cryptolocker Research
dga_00126,hahoraxihopunsn.info,cryptolocker,3.4087,0.4211,20,True,0.985,DGArchive / Cryptolocker Research
dga_00127,epkzujedylqhob.com,cryptolocker,3.9477,0.2941,18,True,0.985,DGArchive / Cryptolocker Research
dga_00128,edwpglcjslutuzivul.net,cryptolocker,3.8454,0.2857,22,True,0.985,DGArchive / Cryptolocker Research
dga_00129,ebgxmvelkzknc.biz,cryptolocker,3.6169,0.1875,17,True,0.985,DGArchive / Cryptolocker Research
dga_00130,judwlwfmtmhetcbadc.ru,cryptolocker,3.8209,0.2,21,True,0.985,DGArchive / Cryptolocker Research
dga_00131,xmdydmhwlotejq.org,cryptolocker,3.8366,0.1765,18,True,0.985,DGArchive / Cryptolocker Research
dga_00132,lopsvqzirepqjal.co.uk,cryptolocker,3.9161,0.3158,21,True,0.985,DGArchive / Cryptolocker Research
dga_00133,idwvubgpsvynmval.info,cryptolocker,3.9754,0.25,21,True,0.985,DGArchive / Cryptolocker Research
dga_00134,mpebulixcnevkr.com,cryptolocker,3.8366,0.2941,18,True,0.985,DGArchive / Cryptolocker Research
dga_00135,slgtcfcbynszm.net,cryptolocker,3.6169,0.0625,17,True,0.985,DGArchive / Cryptolocker Research
dga_00136,zofotonozqvorqx.biz,cryptolocker,3.2814,0.3333,19,True,0.985,DGArchive / Cryptolocker Research
dga_00137,ijwrsdsjyfkbuxalw.ru,cryptolocker,3.8219,0.2105,20,True,0.985,DGArchive / Cryptolocker Research
dga_00138,lgvudqjkbyle.org,cryptolocker,3.75,0.2,16,True,0.985,DGArchive / Cryptolocker Research
dga_00139,jsvurudexgtexg.co.uk,cryptolocker,3.6842,0.3333,20,True,0.985,DGArchive / Cryptolocker Research
dga_00140,xihqnglkhmxajozs.info,cryptolocker,3.9161,0.25,21,True,0.985,DGArchive / Cryptolocker Research
dga_00141,pszwtmnanmxexeral.com,cryptolocker,3.7849,0.25,21,True,0.985,DGArchive / Cryptolocker Research
dga_00142,ivkrcpabixyjoraj.net,cryptolocker,3.9219,0.3158,20,True,0.985,DGArchive / Cryptolocker Research
dga_00143,uzgdopqjwviho.biz,cryptolocker,3.7345,0.3125,17,True,0.985,DGArchive / Cryptolocker Research
dga_00144,vqzgfytiviparcjk.ru,cryptolocker,3.9321,0.2222,19,True,0.985,DGArchive / Cryptolocker Research
dga_00145,zkrcfsfqrczmbmpm.org,cryptolocker,3.5464,0.0526,20,True,0.985,DGArchive / Cryptolocker Research
dga_00146,vabwvizivudkje.co.uk,cryptolocker,3.6842,0.3889,20,True,0.985,DGArchive / Cryptolocker Research
dga_00147,tkzmjclyhwtunolc.info,cryptolocker,3.9161,0.2,21,True,0.985,DGArchive / Cryptolocker Research
dga_00148,vshmvopsvctara.com,cryptolocker,3.3502,0.2353,18,True,0.985,DGArchive / Cryptolocker Research
dga_00149,pmjorazkxezytov.net,cryptolocker,3.8269,0.2778,19,True,0.985,DGArchive / Cryptolocker Research
dga_00150,elipexkhwzsfwnw.biz,cryptolocker,3.6819,0.2222,19,True,0.985,DGArchive / Cryptolocker Research
dga_00151,ginigacaqe.net,necurs,3.0931,0.4615,14,True,0.985,DGArchive / Necurs Research
dga_00152,meyefelexetoke.biz,necurs,3.3083,0.4706,18,True,0.985,DGArchive / Necurs Research
dga_00153,noweyani.com,necurs,3.2516,0.4545,12,True,0.985,DGArchive / Necurs Research
dga_00154,powuzafadiq.top,necurs,3.5069,0.4286,15,True,0.985,DGArchive / Necurs Research
dga_00155,wovofoseziriw.org,necurs,3.2639,0.4375,17,True,0.985,DGArchive / Necurs Research
dga_00156,vopepiji.net,necurs,3.085,0.4545,12,True,0.985,DGArchive / Necurs Research
dga_00157,jexifeyidepu.com,necurs,3.5778,0.4667,16,True,0.985,DGArchive / Necurs Research
dga_00158,regoluroje.net,necurs,3.182,0.4615,14,True,0.985,DGArchive / Necurs Research
dga_00159,hofuyasok.net,necurs,3.5466,0.4167,13,True,0.985,DGArchive / Necurs Research
dga_00160,suxocofofin.biz,necurs,3.3232,0.4286,15,True,0.985,DGArchive / Necurs Research
dga_00161,pegopaqejenug.com,necurs,3.4548,0.4375,17,True,0.985,DGArchive / Necurs Research
dga_00162,zizipune.cc,necurs,2.914,0.4,11,True,0.985,DGArchive / Necurs Research
dga_00163,yegiqohobado.net,necurs,3.5778,0.4667,16,True,0.985,DGArchive / Necurs Research
dga_00164,rorihurasavace.biz,necurs,3.5305,0.4706,18,True,0.985,DGArchive / Necurs Research
dga_00165,fiwopuxica.com,necurs,3.3788,0.4615,14,True,0.985,DGArchive / Necurs Research
dga_00166,beyajaxaj.cc,necurs,2.8554,0.3636,12,True,0.985,DGArchive / Necurs Research
dga_00167,nuselovipudaho.top,necurs,3.6835,0.4706,18,True,0.985,DGArchive / Necurs Research
dga_00168,qiqawudezepa.net,necurs,3.4528,0.4667,16,True,0.985,DGArchive / Necurs Research
dga_00169,wepewociniwiqo.cc,necurs,3.0131,0.4375,17,True,0.985,DGArchive / Necurs Research
dga_00170,nusedomeni.com,necurs,3.2359,0.4615,14,True,0.985,DGArchive / Necurs Research
dga_00171,cimayiluhokase.cc,necurs,3.5725,0.4375,17,True,0.985,DGArchive / Necurs Research
dga_00172,haluxida.top,necurs,3.4183,0.4545,12,True,0.985,DGArchive / Necurs Research
dga_00173,canuliqigob.com,necurs,3.5069,0.4286,15,True,0.985,DGArchive / Necurs Research
dga_00174,genaxufokix.net,necurs,3.5069,0.4286,15,True,0.985,DGArchive / Necurs Research
dga_00175,boquzefezawaca.com,necurs,3.4613,0.4706,18,True,0.985,DGArchive / Necurs Research
dga_00176,wusozeliya.com,necurs,3.6645,0.4615,14,True,0.985,DGArchive / Necurs Research
dga_00177,qepajakad.com,necurs,3.3347,0.4167,13,True,0.985,DGArchive / Necurs Research
dga_00178,dogeburozi.info,necurs,3.4566,0.5,15,True,0.985,DGArchive / Necurs Research
dga_00179,hegitaruma.com,necurs,3.5216,0.4615,14,True,0.985,DGArchive / Necurs Research
dga_00180,gofitoliwava.net,necurs,3.5,0.4667,16,True,0.985,DGArchive / Necurs Research
dga_00181,raqaxosugikex.biz,necurs,3.7345,0.4375,17,True,0.985,DGArchive / Necurs Research
dga_00182,citaxamen.info,necurs,3.3788,0.4615,14,True,0.985,DGArchive / Necurs Research
dga_00183,pexadamadime.net,necurs,3.1556,0.4667,16,True,0.985,DGArchive / Necurs Research
dga_00184,zupiriwidogo.cc,necurs,3.3232,0.4286,15,True,0.985,DGArchive / Necurs Research
dga_00185,hapiqepoh.biz,necurs,3.2389,0.4167,13,True,0.985,DGArchive / Necurs Research
dga_00186,dorowowi.cc,necurs,2.6635,0.4,11,True,0.985,DGArchive / Necurs Research
dga_00187,zehejukafaz.org,necurs,3.5069,0.4286,15,True,0.985,DGArchive / Necurs Research
dga_00188,naloluzogolu.com,necurs,3.0778,0.4667,16,True,0.985,DGArchive / Necurs Research
dga_00189,vuzehefumek.com,necurs,3.3232,0.4286,15,True,0.985,DGArchive / Necurs Research
dga_00190,rulakise.com,necurs,3.585,0.4545,12,True,0.985,DGArchive / Necurs Research
dga_00191,rahawezoqudite.info,necurs,3.8269,0.5,19,True,0.985,DGArchive / Necurs Research
dga_00192,yohulilabaduj.net,necurs,3.7345,0.4375,17,True,0.985,DGArchive / Necurs Research
dga_00193,miqanicixo.com,necurs,3.0391,0.4615,14,True,0.985,DGArchive / Necurs Research
dga_00194,fopuxadoyiyum.info,necurs,3.4613,0.4706,18,True,0.985,DGArchive / Necurs Research
dga_00195,fitatovic.net,necurs,3.1808,0.4167,13,True,0.985,DGArchive / Necurs Research
dga_00196,quxepixevepi.top,necurs,3.1556,0.4667,16,True,0.985,DGArchive / Necurs Research
dga_00197,radocogi.com,necurs,3.0221,0.4545,12,True,0.985,DGArchive / Necurs Research
dga_00198,lecepusigocu.cc,necurs,3.1069,0.4286,15,True,0.985,DGArchive / Necurs Research
dga_00199,yoguyezokemiw.com,necurs,3.4548,0.4375,17,True,0.985,DGArchive / Necurs Research
dga_00200,fakapivotas.com,necurs,3.4566,0.4286,15,True,0.985,DGArchive / Necurs Research
dga_00201,cuyudanewas.org,necurs,3.6402,0.4286,15,True,0.985,DGArchive / Necurs Research
dga_00202,zutoyakuho.biz,necurs,3.3788,0.4615,14,True,0.985,DGArchive / Necurs Research
dga_00203,gosicowovafuc.com,necurs,3.3372,0.4375,17,True,0.985,DGArchive / Necurs Research
dga_00204,seyotumuwe.biz,necurs,3.5216,0.4615,14,True,0.985,DGArchive / Necurs Research
dga_00205,peqijogeya.com,necurs,3.5216,0.4615,14,True,0.985,DGArchive / Necurs Research
dga_00206,gafazoqezajoca.info,necurs,3.3661,0.5,19,True,0.985,DGArchive / Necurs Research
dga_00207,moqukuqoyacib.org,necurs,3.5725,0.4375,17,True,0.985,DGArchive / Necurs Research
dga_00208,visojihaqina.biz,necurs,3.375,0.4667,16,True,0.985,DGArchive / Necurs Research
dga_00209,fulofocoxogos.cc,necurs,2.8522,0.4,16,True,0.985,DGArchive / Necurs Research
dga_00210,teyatecex.info,necurs,3.3249,0.4615,14,True,0.985,DGArchive / Necurs Research
dga_00211,tujamavudebogo.net,necurs,3.6144,0.4706,18,True,0.985,DGArchive / Necurs Research
dga_00212,hawazipojewaru.org,necurs,3.5724,0.4706,18,True,0.985,DGArchive / Necurs Research
dga_00213,meyumuducij.info,necurs,3.4528,0.4667,16,True,0.985,DGArchive / Necurs Research
dga_00214,xawolesa.top,necurs,3.2516,0.4545,12,True,0.985,DGArchive / Necurs Research
dga_00215,tojecudu.com,necurs,3.085,0.4545,12,True,0.985,DGArchive / Necurs Research
dga_00216,rixusibesobacu.biz,necurs,3.4194,0.4706,18,True,0.985,DGArchive / Necurs Research
dga_00217,biwatitomakila.top,necurs,3.2663,0.4706,18,True,0.985,DGArchive / Necurs Research
dga_00218,lohigijariqem.info,necurs,3.6144,0.4706,18,True,0.985,DGArchive / Necurs Research
dga_00219,wafipizajido.net,necurs,3.5778,0.4667,16,True,0.985,DGArchive / Necurs Research
dga_00220,fapovaje.net,necurs,3.2516,0.4545,12,True,0.985,DGArchive / Necurs Research
dga_00221,qakevili.top,necurs,3.4183,0.4545,12,True,0.985,DGArchive / Necurs Research
dga_00222,kizimalazey.biz,necurs,3.1396,0.4286,15,True,0.985,DGArchive / Necurs Research
dga_00223,zuciyasovoqexo.com,necurs,3.6144,0.4706,18,True,0.985,DGArchive / Necurs Research
dga_00224,tuxarigew.org,necurs,3.3927,0.4167,13,True,0.985,DGArchive / Necurs Research
dga_00225,hogebefa.info,necurs,3.2389,0.5,13,True,0.985,DGArchive / Necurs Research
dga_00226,badoxabitu.info,necurs,3.3736,0.5,15,True,0.985,DGArchive / Necurs Research
dga_00227,vivepaxomuzed.net,necurs,3.6901,0.4375,17,True,0.985,DGArchive / Necurs Research
dga_00228,jusubumegewuq.biz,necurs,3.3816,0.4375,17,True,0.985,DGArchive / Necurs Research
dga_00229,gagugecipoyix.info,necurs,3.5305,0.4706,18,True,0.985,DGArchive / Necurs Research
dga_00230,ferekafebemim.com,necurs,3.2195,0.4375,17,True,0.985,DGArchive / Necurs Research
dga_00231,sajigajuz.cc,necurs,3.085,0.3636,12,True,0.985,DGArchive / Necurs Research
dga_00232,ricedibagu.info,necurs,3.5899,0.5,15,True,0.985,DGArchive / Necurs Research
dga_00233,cufufuriwiro.com,necurs,3.0778,0.4667,16,True,0.985,DGArchive / Necurs Research
dga_00234,pewoteru.org,necurs,3.085,0.4545,12,True,0.985,DGArchive / Necurs Research
dga_00235,hopayuninavox.top,necurs,3.4548,0.4375,17,True,0.985,DGArchive / Necurs Research
dga_00236,bimaxahowaxosa.org,necurs,3.3502,0.4706,18,True,0.985,DGArchive / Necurs Research
dga_00237,kofuwubofoqada.org,necurs,3.3921,0.4706,18,True,0.985,DGArchive / Necurs Research
dga_00238,yimidafu.org,necurs,3.4183,0.4545,12,True,0.985,DGArchive / Necurs Research
dga_00239,vikijuci.cc,necurs,2.5949,0.4,11,True,0.985,DGArchive / Necurs Research
dga_00240,loneditilixar.org,necurs,3.4548,0.4375,17,True,0.985,DGArchive / Necurs Research
dga_00241,suyufusecofogu.org,necurs,3.128,0.4706,18,True,0.985,DGArchive / Necurs Research
