session_id,src_ip,dst_ip,inter_arrival_times,is_attack
s00901,192.168.1.10,194.26.29.112,"[30.51, 30.66, 30.18, 29.77, 29.68, 30.2, 30.06, 30.25, 30.31, 30.27, 30.65, 30.16, 30.97, 29.58, 31.09, 30.87, 29.64, 28.84, 29.89]",True
s01159,192.168.1.142,195.123.245.9,"[18.93, 19.66, 20.68, 18.4, 20.09, 21.21, 20.97, 21.46, 19.75, 19.75]",True
s00913,192.168.1.10,198.51.100.7,"[279.55, 242.0, 273.27, 204.64, 234.17, 233.31, 270.46, 226.05, 210.48]",True
s00897,192.168.1.210,45.154.255.88,"[19.26, 20.1, 19.96, 20.13, 18.62, 18.56]",True
s00242,192.168.1.85,142.250.80.14,"[6.53, 22.92, 9.38, 100.79, 54.94]",False
s00614,192.168.1.10,185.190.140.22,"[29.39, 30.39, 29.15, 29.13, 30.8, 30.34, 30.01, 31.2, 30.06, 29.43, 28.73, 28.36, 31.89, 28.08, 29.76, 29.89, 31.43]",True
s00072,192.168.1.47,93.184.216.34,"[2.04, 3.25, 3.25, 86.52, 0.69, 0.17, 2.51]",False
s00425,192.168.1.98,198.51.100.25,"[74.31, 166.3, 90.23, 40.37, 54.6, 119.96, 14.98, 57.47, 13.28, 41.79]",False
s00498,192.168.1.180,34.120.55.12,"[47.86, 20.96, 35.73, 43.51, 30.32]",False
s00779,192.168.1.142,198.51.100.7,"[31.66, 27.21, 35.86, 34.34, 30.41, 30.43, 27.55, 31.8, 31.66, 30.31, 29.04, 35.85, 34.64, 24.5]",True
s00014,192.168.1.96,34.120.55.12,"[72.69, 21.71, 82.64, 8.01, 103.64, 12.06, 7.14, 3.79]",False
s00098,192.168.1.60,142.250.80.14,"[113.08, 57.71, 44.06, 43.86, 41.41, 59.7, 11.06, 92.21, 18.99]",False
s01167,192.168.1.210,195.123.245.9,"[22.55, 19.37, 21.33, 17.78, 19.82, 21.4, 20.38, 20.47, 21.32]",True
s00024,192.168.1.26,17.253.144.10,"[22.79, 23.87, 52.03, 14.98, 43.63]",False
s00031,192.168.1.35,13.107.21.200,"[13.47, 27.6, 33.09, 1.39, 42.52, 68.27, 107.49]",False
s00966,192.168.1.25,195.123.245.9,"[266.09, 272.26, 262.0, 260.86, 235.47, 259.23, 275.06, 235.28, 272.2]",True
s00822,192.168.1.78,185.220.101.44,"[47.18, 52.53, 39.17, 50.82, 42.59, 39.37, 41.28, 50.24, 41.85]",True
s01085,192.168.1.142,91.108.4.182,"[28.11, 30.66, 29.85, 29.86, 31.21, 29.0, 29.81, 30.29, 29.73, 28.92, 29.76, 28.99, 30.75, 29.04, 30.52, 29.2, 30.81, 30.33, 30.42]",True
s00446,192.168.1.147,151.101.1.140,"[28.4, 29.7, 86.08, 80.96, 32.53, 36.61, 22.66, 76.33, 52.0, 97.67]",False
s00949,192.168.1.210,198.51.100.7,"[9.78, 10.0, 10.39, 9.98, 9.89, 10.41, 9.69, 9.45, 10.74, 10.01, 10.06, 9.67, 9.44, 10.1, 10.13, 10.53, 9.92, 9.2]",True
s00537,192.168.1.188,34.120.55.12,"[2.27, 1.16, 3.25, 0.63, 3.1, 2.1]",False
s01109,192.168.1.142,45.154.255.88,"[197.84, 162.67, 167.11, 201.24, 201.93, 174.37, 174.96, 152.5, 202.31, 200.12, 189.67, 208.15, 164.25, 159.8, 181.87, 163.23, 174.6, 182.26, 183.0, 173.27]",True
s00376,192.168.1.113,198.51.100.25,"[46.25, 26.33, 81.8, 14.97, 36.03, 70.5, 11.25, 70.32]",False
s00318,192.168.1.27,34.120.55.12,"[49.19, 33.18, 55.8, 23.07, 62.25, 52.38, 32.96, 29.6]",False
s00800,192.168.1.25,198.51.100.7,"[16.59, 17.58, 12.18, 13.72, 15.23, 14.32, 17.74, 15.16, 13.17, 16.29, 17.74, 11.6]",True
s00604,192.168.1.142,185.220.101.44,"[78.79, 104.13, 95.57, 79.28, 91.3, 85.38, 102.67, 76.69, 85.61, 89.72, 97.0, 104.21, 84.63, 99.2, 81.44, 88.27, 98.47, 94.87, 75.68, 86.64, 99.79]",True
s00075,192.168.1.220,142.250.80.14,"[13.23, 30.28, 29.13, 4.16, 52.25, 49.37, 75.37, 19.89, 14.87, 10.21]",False
s00926,192.168.1.10,185.220.101.44,"[10.11, 10.01, 10.16, 9.76, 10.13, 10.15, 10.07, 9.83, 10.34, 9.61, 10.08, 10.48, 9.54]",True
s00612,192.168.1.10,195.123.245.9,"[628.21, 594.33, 578.39, 587.83, 671.92, 528.07, 614.8, 617.59, 633.55, 614.52]",True
s00256,192.168.1.48,104.16.85.20,"[19.84, 67.16, 25.25, 55.44, 9.32, 39.84, 29.81, 32.34, 20.56, 63.47, 114.17, 21.86, 122.26]",False
s01074,192.168.1.233,45.154.255.88,"[148.71, 195.41, 222.88, 136.72, 149.92, 137.51, 209.12, 179.81, 169.64]",True
s00585,192.168.1.110,34.120.55.12,"[45.59, 36.46, 35.47, 17.7, 36.18, 42.68, 20.35, 33.84, 51.89]",False
s01015,192.168.1.44,185.190.140.22,"[261.87, 237.53, 240.98, 258.58, 288.36, 267.76, 285.4, 274.98, 263.73, 256.96, 250.61, 282.99, 226.22, 240.76]",True
s00552,192.168.1.144,151.101.1.140,"[13.15, 9.31, 37.34, 4.54, 17.73, 8.8, 20.73, 10.13, 45.47, 52.09, 29.58, 20.03, 58.8]",False
s00035,192.168.1.139,142.250.80.14,"[63.77, 31.54, 4.2, 32.27, 14.9, 18.75, 12.33, 24.88, 28.87, 13.97, 46.68, 26.22, 24.09]",False
s00747,192.168.1.210,185.220.101.44,"[93.78, 100.82, 82.31, 77.75, 100.51, 89.86, 92.81, 85.08, 93.46, 89.72, 99.93, 104.41, 98.99, 99.62, 99.48, 80.93, 75.7]",True
s00521,192.168.1.184,151.101.1.140,"[71.79, 18.57, 25.59, 29.3, 4.72]",False
s01026,192.168.1.210,45.154.255.88,"[14.91, 15.86, 14.78, 15.11, 12.86, 15.16, 15.23, 15.99]",True
s01110,192.168.1.25,45.154.255.88,"[177.6, 178.1, 177.22, 175.46, 192.77, 190.54, 160.94, 167.29, 176.3, 175.01, 182.67, 170.63, 175.15, 179.66, 183.38]",True
s00306,192.168.1.73,52.84.12.33,"[11.92, 38.3, 64.3, 18.85, 29.54]",False
s00212,192.168.1.174,93.184.216.34,"[109.47, 42.03, 22.55, 98.67, 20.76, 20.94, 76.5, 18.95, 32.96, 69.47, 91.65, 70.46, 8.61, 37.17, 25.01]",False
s00569,192.168.1.93,151.101.1.140,"[1.22, 18.77, 26.75, 8.23, 37.43, 7.45, 11.27, 19.45, 10.52, 43.88, 16.44]",False
s00417,192.168.1.150,52.84.12.33,"[10.9, 8.66, 20.45, 67.89, 5.15]",False
s01078,192.168.1.210,203.0.113.90,"[30.12, 30.74, 30.95, 30.89, 29.51, 30.21, 30.15, 29.08, 30.15, 31.25, 30.1, 29.07, 30.22, 30.77, 28.46, 29.35, 30.51, 29.19]",True
s00388,192.168.1.232,104.16.85.20,"[22.57, 12.6, 7.4, 28.81, 14.14]",False
s00367,192.168.1.229,93.184.216.34,"[32.73, 65.4, 22.16, 8.24, 38.5, 62.16, 39.29, 25.79, 150.82, 51.99, 34.65]",False
s00505,192.168.1.120,151.101.1.140,"[54.84, 9.64, 68.71, 17.8, 17.2, 29.82, 29.33]",False
s00782,192.168.1.78,198.51.100.7,"[258.5, 260.99, 235.95, 251.12, 240.57, 264.32, 242.55, 259.39, 250.22, 287.4, 266.76, 214.85, 252.96, 258.14]",True
s01056,192.168.1.105,198.51.100.7,"[19.35, 19.67, 20.13, 19.52, 23.03, 17.46, 19.59, 19.49, 23.98, 19.57]",True
s00352,192.168.1.15,198.51.100.25,"[36.89, 31.48, 196.81, 13.87, 22.62, 31.7, 46.88, 66.9, 86.85]",False
s00158,192.168.1.166,13.107.21.200,"[5.18, 25.07, 5.77, 2.91, 10.98, 15.72]",False
s00975,192.168.1.233,185.220.101.44,"[12.62, 13.02, 15.78, 17.25, 13.8, 17.68, 14.17, 16.48, 12.76, 16.35, 14.85, 13.62, 12.99, 13.53]",True
s00679,192.168.1.78,45.154.255.88,"[58.09, 52.94, 52.67, 41.69, 51.03, 46.04, 49.45, 47.53, 48.32, 45.57]",True
s00900,192.168.1.25,185.190.140.22,"[29.51, 29.9, 30.12, 30.99, 31.65, 29.48, 30.59, 30.02, 29.56, 31.49, 31.67]",True
s00799,192.168.1.142,185.220.101.44,"[212.47, 152.51, 164.88, 150.59, 208.75, 143.81, 154.35, 172.05, 195.87, 214.39, 216.23, 216.76, 189.06, 148.17, 199.74, 176.26, 217.09, 143.22, 174.88, 159.47, 164.62]",True
s00935,192.168.1.142,185.220.101.44,"[118.19, 129.93, 114.27, 123.84, 139.22, 112.13]",True
s00404,192.168.1.104,151.101.1.140,"[24.48, 19.78, 46.35, 59.04, 38.16, 36.38, 25.58, 116.87, 24.69, 27.63, 63.8, 26.79, 68.26, 51.78]",False
s01198,192.168.1.210,194.26.29.112,"[234.88, 229.27, 258.24, 218.78, 230.26, 236.74, 244.6, 246.08, 265.29, 258.59]",True
s00883,192.168.1.210,45.154.255.88,"[10.05, 10.37, 10.25, 10.15, 9.78, 9.91, 10.2, 10.22, 9.85, 10.02, 9.93, 9.95, 10.07]",True
s00787,192.168.1.233,185.190.140.22,"[59.55, 59.17, 60.16, 58.57, 59.24, 63.92, 59.76, 58.74, 59.89, 65.27, 61.56, 60.41, 63.61]",True
s00104,192.168.1.125,13.107.21.200,"[16.89, 78.71, 9.76, 149.19, 34.64, 155.21, 53.23, 34.55, 52.98, 17.96, 36.14, 19.12, 50.08, 41.9]",False
s01054,192.168.1.210,203.0.113.90,"[299.68, 332.28, 243.35, 246.83, 327.12, 306.06, 353.06]",True
s00411,192.168.1.136,13.107.21.200,"[0.26, 2.73, 1.1, 77.48, 0.52, 30.02]",False
s00827,192.168.1.78,194.26.29.112,"[11.38, 13.97, 12.86, 16.76, 15.99, 12.77, 13.95, 12.42, 13.94, 15.69, 12.39, 17.63, 12.81]",True
s00063,192.168.1.133,142.250.80.14,"[0.98, 27.77, 0.9, 1.61, 3.29, 0.41, 41.9]",False
s00773,192.168.1.25,195.123.245.9,"[647.87, 546.31, 602.08, 681.64, 680.5, 620.97, 647.58, 646.83, 566.49, 531.99, 509.31]",True
s00946,192.168.1.44,185.220.101.44,"[109.47, 92.32, 95.3, 105.71, 104.59, 105.8]",True
s00980,192.168.1.105,203.0.113.90,"[41.41, 44.22, 40.67, 47.18, 53.23, 46.77, 48.58, 53.42, 51.13, 46.47, 39.69, 48.27, 46.97, 46.72, 48.67, 45.9, 46.23, 52.78, 45.07]",True
s00816,192.168.1.10,198.51.100.7,"[37.71, 32.35, 27.77, 35.48, 30.15, 32.84, 29.27, 28.35, 32.13, 29.89, 34.16, 24.58, 35.93, 31.71, 35.46]",True
s00167,192.168.1.7,142.250.80.14,"[93.2, 170.55, 24.68, 41.36, 33.67, 11.23, 138.04, 78.62, 30.61, 53.61, 22.76]",False
s00735,192.168.1.78,91.108.4.182,"[27.47, 31.14, 28.86, 33.35, 27.67, 25.24, 30.17, 29.26, 30.6, 29.45, 28.28, 32.66, 30.52, 31.94, 29.08]",True
s01122,192.168.1.233,45.154.255.88,"[10.48, 10.43, 9.79, 10.21, 9.45, 9.99, 10.12, 10.23, 10.33, 9.97, 9.87, 9.99, 9.86, 9.78, 10.09, 10.06, 10.46, 10.06, 10.12, 10.27, 9.79, 10.44, 9.82]",True
s01183,192.168.1.25,195.123.245.9,"[16.02, 16.84, 14.38, 15.21, 14.48, 16.47, 16.96, 13.37, 14.73, 13.64, 13.33, 14.0]",True
s00236,192.168.1.85,52.84.12.33,"[4.4, 5.55, 3.43, 23.61, 32.61, 14.97, 5.85, 73.62, 39.41]",False
s00746,192.168.1.44,185.220.101.44,"[57.9, 60.0, 58.56, 60.14, 60.07, 61.4, 57.41, 60.87, 59.6, 64.03, 60.37, 58.64, 60.22, 63.35]",True
s00204,192.168.1.69,34.120.55.12,"[29.53, 93.2, 18.84, 50.53, 25.07, 61.1, 56.37, 64.51, 20.64, 25.55, 128.78, 28.23]",False
s00402,192.168.1.147,13.107.21.200,"[67.95, 91.22, 26.96, 55.38, 62.24, 87.59, 35.37, 50.06, 15.7, 69.4, 29.54, 22.42]",False
s00974,192.168.1.44,194.26.29.112,"[87.8, 105.32, 101.61, 103.03, 104.29, 105.36, 102.68, 110.77, 107.11, 105.15]",True
s00350,192.168.1.177,34.120.55.12,"[33.34, 2.41, 1.35, 0.19, 23.32, 2.93, 0.25]",False
s00693,192.168.1.44,91.108.4.182,"[10.24, 9.73, 9.86, 10.18, 10.14, 9.98, 9.46, 10.23, 10.29, 9.62, 9.39, 10.26, 9.33, 10.4, 9.67, 10.39, 10.79]",True
s00117,192.168.1.239,34.120.55.12,"[7.11, 44.55, 29.0, 36.79, 32.9, 28.6, 38.6, 35.51, 34.39]",False
s00012,192.168.1.203,13.107.21.200,"[22.0, 36.37, 21.99, 11.48, 62.75, 22.65, 3.74, 18.22, 8.05, 51.77, 3.54, 39.53]",False
s00364,192.168.1.121,198.51.100.25,"[2.28, 0.8, 1.07, 1.92, 0.86, 3.48, 3.19, 3.47, 0.69, 81.73]",False
s01010,192.168.1.210,195.123.245.9,"[99.91, 109.52, 108.86, 91.92, 99.29, 110.03, 96.83, 82.86, 79.48, 106.77, 71.02, 105.41, 78.49, 105.57, 107.57, 105.56, 98.67, 93.97, 85.23, 103.3, 70.77]",True
s00355,192.168.1.246,104.16.85.20,"[27.46, 15.34, 35.9, 53.2, 60.54, 5.77, 23.21, 20.44]",False
s00929,192.168.1.44,203.0.113.90,"[273.27, 186.21, 309.17, 305.26, 234.05, 350.13, 301.98, 265.37, 222.21, 242.22, 296.4, 285.95, 246.11]",True
s00692,192.168.1.233,185.220.101.44,"[9.72, 9.75, 9.95, 10.01, 10.3, 9.76, 9.26, 10.1, 10.26, 9.76, 10.29, 10.12, 10.16, 9.83, 9.97, 9.45, 9.91, 10.22, 9.72, 9.29]",True
s00647,192.168.1.44,185.190.140.22,"[16.94, 17.77, 12.2, 14.03, 12.74, 16.06, 13.6, 13.75, 15.1, 14.46, 14.24, 17.26, 15.5, 17.99, 18.01]",True
s00198,192.168.1.151,52.84.12.33,"[19.57, 17.12, 31.2, 28.09, 20.82, 38.8, 29.74, 51.23, 16.32]",False
s01023,192.168.1.105,45.154.255.88,"[145.04, 168.76, 152.35, 161.57, 191.42, 161.53, 156.81, 213.99, 149.16, 203.42, 175.76]",True
s00227,192.168.1.43,13.107.21.200,"[14.98, 15.95, 52.03, 52.73, 23.64, 49.43, 111.02, 71.46, 37.61, 64.65, 48.45, 20.72, 150.55]",False
s00776,192.168.1.233,195.123.245.9,"[196.95, 169.86, 151.29, 187.99, 153.27, 159.13, 161.53, 203.51, 180.83, 195.69]",True
s00631,192.168.1.105,194.26.29.112,"[49.92, 56.93, 48.9, 55.74, 52.25, 50.88]",True
s00984,192.168.1.210,194.26.29.112,"[17.92, 18.3, 20.01, 25.3, 18.44, 20.07, 19.23, 22.27, 21.6, 18.11, 21.76, 19.2]",True
s00644,192.168.1.210,185.220.101.44,"[58.02, 60.44, 60.3, 62.8, 58.65, 59.41, 61.95, 62.51, 59.45, 62.4, 59.53, 62.51, 55.93, 57.48, 58.95, 61.02, 61.55, 61.17, 59.53, 60.91, 62.7, 58.57, 58.22]",True
s00275,192.168.1.49,198.51.100.25,"[26.19, 100.93, 74.09, 211.99, 90.48, 23.44, 35.47, 41.18, 31.25]",False
s00282,192.168.1.209,34.120.55.12,"[50.51, 14.72, 11.75, 21.37, 6.11, 4.6, 34.51, 6.55, 45.06, 12.83]",False
s00684,192.168.1.44,195.123.245.9,"[31.17, 28.27, 28.28, 30.31, 31.12, 30.11, 30.39, 31.44, 30.23]",True
s00265,192.168.1.241,151.101.1.140,"[0.57, 1.32, 1.13, 1.91, 1.74, 38.46, 2.0, 1.9, 2.66, 2.05]",False
s00324,192.168.1.244,52.84.12.33,"[37.97, 103.11, 14.05, 150.13, 82.08, 159.06, 25.52, 7.06]",False
s00087,192.168.1.236,104.16.85.20,"[21.17, 56.17, 41.19, 30.16, 31.5, 55.1]",False
s01200,192.168.1.25,185.190.140.22,"[112.91, 128.24, 122.44, 89.18, 130.5, 105.42, 110.57, 116.43, 83.65, 107.16, 111.14, 116.75]",True
s01098,192.168.1.78,45.154.255.88,"[565.13, 612.58, 592.98, 578.92, 549.27, 593.03, 586.61, 586.17, 618.48, 638.7, 605.61, 611.92, 585.82]",True
s00304,192.168.1.105,52.84.12.33,"[1.98, 2.54, 57.23, 70.14, 3.11, 0.27, 0.6, 1.0, 0.81, 2.08]",False
s00359,192.168.1.146,93.184.216.34,"[41.83, 61.47, 27.92, 39.1, 70.86, 56.11, 164.46, 55.27, 57.92, 22.62]",False
s00089,192.168.1.240,34.120.55.12,"[26.65, 27.01, 24.14, 23.07, 21.23, 15.72, 12.87, 12.81, 21.0, 42.12, 13.07]",False
s00485,192.168.1.136,52.84.12.33,"[1.26, 0.84, 2.47, 2.59, 2.97, 2.93, 87.68, 1.8, 23.01, 1.49, 64.38, 64.27, 49.83]",False
s00413,192.168.1.197,142.250.80.14,"[4.34, 13.06, 14.16, 7.93, 38.29, 37.76, 21.2, 9.38, 23.35, 5.12, 4.55, 35.03]",False
s00628,192.168.1.10,185.190.140.22,"[51.91, 52.48, 50.48, 56.82, 51.92, 48.4, 48.79]",True
s00347,192.168.1.179,198.51.100.25,"[3.07, 2.39, 3.02, 0.71, 2.52, 0.57, 0.09, 3.34, 82.85, 1.05, 2.03, 1.92, 3.1, 1.35]",False
s00349,192.168.1.75,17.253.144.10,"[16.83, 74.58, 34.66, 104.03, 31.32, 26.66, 40.69, 46.09, 46.76, 37.42, 36.22]",False
s00763,192.168.1.78,45.154.255.88,"[634.8, 566.72, 598.58, 518.74, 654.3, 582.68, 574.91, 678.91, 535.45, 558.5, 660.8, 689.45, 554.32, 520.26, 664.23, 630.53, 619.33, 488.57]",True
s00564,192.168.1.202,151.101.1.140,"[43.03, 58.95, 39.96, 15.79, 26.67, 77.87, 62.62, 83.23, 16.9, 39.34, 51.47]",False
s00252,192.168.1.22,17.253.144.10,"[63.56, 13.49, 19.4, 31.56, 28.24, 18.63, 55.66]",False
s00972,192.168.1.105,45.154.255.88,"[92.23, 113.26, 103.26, 103.74, 109.42, 104.4, 96.63, 121.35, 101.3, 99.94]",True
s00531,192.168.1.130,104.16.85.20,"[26.56, 73.24, 16.57, 3.57, 8.32, 34.66, 7.8]",False
s00794,192.168.1.233,91.108.4.182,"[94.5, 106.23, 75.06, 92.56, 96.93, 81.43, 99.23, 82.72, 85.23, 85.77, 90.23, 93.54, 83.41, 81.29, 97.89, 74.79]",True
s00870,192.168.1.44,185.190.140.22,"[130.8, 138.91, 127.53, 123.09, 109.24, 140.73, 114.88, 152.8]",True
s00550,192.168.1.187,151.101.1.140,"[68.67, 22.23, 29.73, 57.95, 42.56]",False
s00002,192.168.1.47,142.250.80.14,"[60.09, 33.57, 25.43, 34.17, 42.9, 61.43, 40.88, 106.93]",False
s01118,192.168.1.105,91.108.4.182,"[60.62, 62.52, 59.5, 61.58, 59.23, 62.32, 60.8, 62.96, 58.73, 60.25, 62.01, 61.96, 61.97, 59.53, 60.47]",True
s00480,192.168.1.250,151.101.1.140,"[46.84, 114.43, 32.03, 17.41, 38.71, 60.38, 51.69]",False
s01179,192.168.1.10,198.51.100.7,"[19.38, 20.74, 21.8, 16.58, 18.98, 18.61, 17.99, 21.89, 19.82, 19.5, 21.31, 18.95]",True
s00911,192.168.1.10,185.190.140.22,"[59.93, 60.39, 61.07, 61.19, 56.6, 57.96, 59.25, 61.76, 59.36, 58.42, 61.5, 58.69]",True
s00642,192.168.1.44,185.190.140.22,"[62.63, 59.11, 73.66, 53.46, 49.17, 34.8, 65.94, 49.36]",True
s01051,192.168.1.10,185.190.140.22,"[28.93, 29.01, 30.57, 29.6, 29.97, 29.16, 28.81, 30.62, 31.3, 28.81, 29.94, 31.01, 30.92, 28.44, 31.67, 31.66, 30.1]",True
s00338,192.168.1.240,52.84.12.33,"[61.57, 22.36, 37.33, 35.32, 24.7, 91.62]",False
s00640,192.168.1.78,45.154.255.88,"[30.15, 28.6, 31.78, 30.13, 27.56, 30.47, 30.46, 30.96, 27.99, 29.49, 28.82, 30.29]",True
s00279,192.168.1.216,151.101.1.140,"[100.19, 38.75, 28.53, 68.34, 30.34, 17.81, 117.02, 204.85]",False
s00572,192.168.1.129,17.253.144.10,"[2.28, 3.09, 20.01, 1.49, 1.43, 0.46]",False
s01144,192.168.1.105,185.220.101.44,"[60.52, 60.46, 61.97, 59.82, 62.16, 62.49, 58.99, 58.52, 60.02, 60.2, 61.3, 60.24, 60.69, 60.5, 60.77, 59.88, 61.75, 60.64]",True
s01014,192.168.1.78,185.220.101.44,"[206.37, 168.59, 180.87, 163.69, 168.58, 199.53, 179.7, 177.51, 180.86]",True
s01141,192.168.1.105,91.108.4.182,"[30.73, 30.74, 30.49, 27.3, 31.27, 30.13, 29.99, 29.81, 30.15, 29.48]",True
s00759,192.168.1.233,194.26.29.112,"[194.72, 182.76, 149.15, 148.36, 162.76, 193.27, 156.1, 158.45, 168.37, 167.88, 148.44, 167.18, 193.0, 148.57, 179.99, 193.81, 210.42, 201.48, 190.63, 175.46, 149.03]",True
s00240,192.168.1.192,52.84.12.33,"[79.02, 72.54, 71.7, 26.55, 40.47, 98.21, 35.97]",False
s00784,192.168.1.105,185.220.101.44,"[20.28, 18.58, 19.43, 19.46, 17.74, 18.0, 18.76, 22.54, 18.63, 22.21]",True
s00123,192.168.1.212,34.120.55.12,"[21.3, 48.88, 6.29, 32.42, 43.55, 20.58, 9.87, 16.0, 14.75, 15.98, 4.8, 61.7, 9.53]",False
s00902,192.168.1.44,195.123.245.9,"[78.81, 104.95, 87.92, 104.94, 93.79, 92.56, 92.63, 92.02, 90.84, 87.52, 101.02, 84.94, 95.0, 75.45, 89.49]",True
s00778,192.168.1.25,198.51.100.7,"[19.81, 18.57, 17.69, 16.6, 17.43, 18.85, 21.97, 23.29, 21.95, 20.63, 21.88, 21.59, 16.85, 21.15]",True
s01063,192.168.1.78,203.0.113.90,"[97.68, 104.62, 81.63, 106.2, 89.81, 100.3, 109.2, 99.4, 115.02, 93.15, 95.6, 90.55, 77.95]",True
s00160,192.168.1.213,52.84.12.33,"[17.21, 48.07, 9.37, 24.81, 59.59, 45.48, 28.33, 93.13, 43.23, 37.76, 31.73, 20.93]",False
s00001,192.168.1.85,13.107.21.200,"[50.41, 17.11, 82.52, 115.54, 17.51, 38.37, 24.43, 145.86, 88.92]",False
s00164,192.168.1.139,151.101.1.140,"[14.71, 54.06, 37.66, 30.06, 46.67, 26.37, 33.21, 61.98, 33.92, 15.99, 76.89, 19.3, 27.36, 82.19]",False
s01103,192.168.1.25,194.26.29.112,"[105.81, 107.59, 94.58, 100.98, 99.64, 108.09, 104.76, 106.94]",True
s00721,192.168.1.78,45.154.255.88,"[19.54, 20.47, 21.68, 17.86, 19.77, 23.48, 17.76, 20.19, 19.2]",True
s00299,192.168.1.225,17.253.144.10,"[8.75, 7.93, 37.92, 53.38, 20.23, 16.63, 48.63, 9.22, 3.52, 26.54]",False
