query_id,client_ip,server_ip,query_name,query_type,response_code,payload_size_bytes,entropy,vowel_ratio,is_tunneling,tunneling_score,timestamp
dns_benign_00042,192.168.1.205,8.8.8.8,expedia.com,A,NOERROR,128,3.2776,0.5,False,0.015,2026-08-26T14:14:44.147640+00:00
dns_benign_00043,192.168.1.142,8.8.8.8,bitbucket.org,AAAA,NOERROR,161,3.3927,0.3333,False,0.015,2026-08-26T14:14:44.444640+00:00
dns_benign_00044,192.168.1.79,8.8.8.8,booking.com,AAAA,NOERROR,134,3.0272,0.4,False,0.015,2026-08-26T14:14:44.711640+00:00
dns_benign_00045,192.168.1.16,8.8.8.8,espn.com,CNAME,NOERROR,172,3.0,0.2857,False,0.015,2026-08-26T14:14:44.889640+00:00
dns_benign_00046,192.168.1.242,8.8.8.8,spotify.com,CNAME,NOERROR,95,3.2776,0.3,False,0.015,2026-08-26T14:14:45.136640+00:00
dns_benign_00047,192.168.1.199,8.8.8.8,cloudflare.com,A,NOERROR,67,3.3788,0.3846,False,0.015,2026-08-26T14:14:45.362640+00:00
dns_benign_00048,192.168.1.86,8.8.8.8,cloud.google.com,AAAA,NOERROR,128,3.0,0.4286,False,0.015,2026-08-26T14:14:45.461640+00:00
dns_benign_00049,192.168.1.177,8.8.8.8,zdnet.com,MX,NOERROR,91,3.1699,0.25,False,0.015,2026-08-26T14:14:45.664640+00:00
dns_benign_00050,192.168.1.182,8.8.8.8,cnbc.com,AAAA,NOERROR,147,2.4056,0.1429,False,0.015,2026-08-26T14:14:45.941640+00:00
dns_benign_00051,192.168.1.23,8.8.8.8,gitlab.com,MX,NOERROR,115,3.3219,0.3333,False,0.015,2026-08-26T14:14:46.001640+00:00
dns_benign_00052,192.168.1.7,8.8.8.8,docker.com,CNAME,NOERROR,136,2.9219,0.3333,False,0.015,2026-08-26T14:14:46.050640+00:00
dns_benign_00053,192.168.1.182,8.8.8.8,google.com,MX,NOERROR,75,2.6464,0.4444,False,0.015,2026-08-26T14:14:46.349640+00:00
dns_benign_00054,192.168.1.206,8.8.8.8,netflix.com,CNAME,NOERROR,78,3.4594,0.3,False,0.015,2026-08-26T14:14:46.610640+00:00
dns_benign_00055,192.168.1.230,8.8.8.8,target.com,AAAA,NOERROR,139,3.1219,0.3333,False,0.015,2026-08-26T14:14:46.741640+00:00
dns_benign_00056,192.168.1.179,8.8.8.8,cisco.com,CNAME,NOERROR,138,2.4194,0.375,False,0.015,2026-08-26T14:14:46.949640+00:00
dns_benign_00057,192.168.1.85,8.8.8.8,cloudflare.com,CNAME,NOERROR,149,3.3788,0.3846,False,0.015,2026-08-26T14:14:47.081640+00:00
dns_benign_00058,192.168.1.115,8.8.8.8,mozilla.org,MX,NOERROR,67,3.0958,0.4,False,0.015,2026-08-26T14:14:47.347640+00:00
dns_benign_00059,192.168.1.50,8.8.8.8,doordash.com,MX,NOERROR,102,3.0221,0.3636,False,0.015,2026-08-26T14:14:47.441640+00:00
dns_benign_00060,192.168.1.80,8.8.8.8,hulu.com,CNAME,NOERROR,164,2.75,0.4286,False,0.015,2026-08-26T14:14:47.490640+00:00
dns_benign_00061,192.168.1.115,8.8.8.8,live.com,CNAME,NOERROR,128,3.0,0.4286,False,0.015,2026-08-26T14:14:47.740640+00:00
dns_benign_00062,192.168.1.101,8.8.8.8,zoom.us,A,NOERROR,136,2.5216,0.5,False,0.015,2026-08-26T14:14:47.833640+00:00
dns_benign_00063,192.168.1.244,8.8.8.8,firebase.google.com,A,NOERROR,72,3.5369,0.4706,False,0.015,2026-08-26T14:14:48.110640+00:00
dns_benign_00064,192.168.1.239,8.8.8.8,expedia.com,AAAA,NOERROR,91,3.2776,0.5,False,0.015,2026-08-26T14:14:48.328640+00:00
dns_benign_00065,192.168.1.54,8.8.8.8,accuweather.com,AAAA,NOERROR,142,3.3232,0.4286,False,0.015,2026-08-26T14:14:48.427640+00:00
dns_benign_00066,192.168.1.3,8.8.8.8,wikipedia.org,AAAA,NOERROR,114,3.3347,0.5,False,0.015,2026-08-26T14:14:48.659640+00:00
dns_benign_00067,192.168.1.176,8.8.8.8,forbes.com,A,NOERROR,78,3.1219,0.3333,False,0.015,2026-08-26T14:14:48.933640+00:00
dns_benign_00068,192.168.1.149,8.8.8.8,booking.com,AAAA,NOERROR,46,3.0272,0.4,False,0.015,2026-08-26T14:14:49.232640+00:00
dns_benign_00069,192.168.1.101,8.8.8.8,debian.org,A,NOERROR,74,3.3219,0.4444,False,0.015,2026-08-26T14:14:49.525640+00:00
dns_benign_00070,192.168.1.216,8.8.8.8,paramountplus.com,MX,NOERROR,77,3.4992,0.375,False,0.015,2026-08-26T14:14:49.691640+00:00
dns_benign_00071,192.168.1.164,8.8.8.8,twitter.com,CNAME,NOERROR,145,3.0272,0.3,False,0.015,2026-08-26T14:14:49.969640+00:00
dns_benign_00072,192.168.1.202,8.8.8.8,firebase.google.com,AAAA,NOERROR,99,3.5369,0.4706,False,0.015,2026-08-26T14:14:50.033640+00:00
dns_benign_00073,192.168.1.140,8.8.8.8,nih.gov,CNAME,NOERROR,82,2.8074,0.3333,False,0.015,2026-08-26T14:14:50.321640+00:00
dns_benign_00074,192.168.1.166,8.8.8.8,paramountplus.com,MX,NOERROR,176,3.4992,0.375,False,0.015,2026-08-26T14:14:50.548640+00:00
dns_benign_00075,192.168.1.199,8.8.8.8,whatsapp.com,CNAME,NOERROR,105,3.2516,0.2727,False,0.015,2026-08-26T14:14:50.641640+00:00
dns_benign_00076,192.168.1.180,8.8.8.8,bbc.com,AAAA,NOERROR,58,2.2359,0.1667,False,0.015,2026-08-26T14:14:50.920640+00:00
dns_benign_00077,192.168.1.3,8.8.8.8,airbnb.com,MX,NOERROR,105,3.1219,0.3333,False,0.015,2026-08-26T14:14:50.964640+00:00
dns_benign_00078,192.168.1.74,8.8.8.8,etsy.com,CNAME,NOERROR,115,3.0,0.2857,False,0.015,2026-08-26T14:14:51.258640+00:00
dns_benign_00079,192.168.1.177,8.8.8.8,theverge.com,CNAME,NOERROR,124,3.1887,0.3636,False,0.015,2026-08-26T14:14:51.458640+00:00
dns_benign_00080,192.168.1.219,8.8.8.8,instagram.com,A,NOERROR,160,3.3927,0.3333,False,0.015,2026-08-26T14:14:51.639640+00:00
dns_benign_00081,192.168.1.233,8.8.8.8,ebay.com,AAAA,NOERROR,154,3.0,0.4286,False,0.015,2026-08-26T14:14:51.885640+00:00
dns_benign_00082,192.168.1.165,8.8.8.8,nytimes.com,CNAME,NOERROR,117,3.2776,0.3,False,0.015,2026-08-26T14:14:51.994640+00:00
dns_benign_00083,192.168.1.198,8.8.8.8,redhat.com,MX,NOERROR,135,3.3219,0.3333,False,0.015,2026-08-26T14:14:52.152640+00:00
dns_benign_00084,192.168.1.102,8.8.8.8,instacart.com,A,NOERROR,111,3.2389,0.3333,False,0.015,2026-08-26T14:14:52.247640+00:00
dns_benign_00085,192.168.1.150,8.8.8.8,quad9.net,AAAA,NOERROR,177,3.1699,0.4286,False,0.015,2026-08-26T14:14:52.414640+00:00
dns_benign_00086,192.168.1.162,8.8.8.8,cisco.com,A,NOERROR,163,2.4194,0.375,False,0.015,2026-08-26T14:14:52.622640+00:00
dns_benign_00087,192.168.1.131,8.8.8.8,cdnjs.cloudflare.com,CNAME,NOERROR,160,3.6842,0.2778,False,0.015,2026-08-26T14:14:52.881640+00:00
dns_benign_00088,192.168.1.59,8.8.8.8,cdc.gov,MX,NOERROR,129,2.5216,0.1667,False,0.015,2026-08-26T14:14:53.180640+00:00
dns_benign_00089,192.168.1.206,8.8.8.8,uber.com,A,NOERROR,141,3.0,0.4286,False,0.015,2026-08-26T14:14:53.433640+00:00
dns_benign_00090,192.168.1.81,8.8.8.8,discord.com,AAAA,NOERROR,123,2.914,0.3,False,0.015,2026-08-26T14:14:53.717640+00:00
dns_benign_00091,192.168.1.217,8.8.8.8,engadget.com,AAAA,NOERROR,59,3.2516,0.3636,False,0.015,2026-08-26T14:14:53.776640+00:00
dns_benign_00092,192.168.1.173,8.8.8.8,tripadvisor.com,A,NOERROR,164,3.5069,0.3571,False,0.015,2026-08-26T14:14:54.042640+00:00
dns_benign_00093,192.168.1.101,8.8.8.8,cisco.com,A,NOERROR,94,2.4194,0.375,False,0.015,2026-08-26T14:14:54.320640+00:00
dns_benign_00094,192.168.1.8,8.8.8.8,expedia.com,A,NOERROR,170,3.2776,0.5,False,0.015,2026-08-26T14:14:54.521640+00:00
dns_benign_00095,192.168.1.57,8.8.8.8,telegram.org,MX,NOERROR,85,3.085,0.3636,False,0.015,2026-08-26T14:14:54.821640+00:00
dns_benign_00096,192.168.1.52,8.8.8.8,dropbox.com,CNAME,NOERROR,117,3.0272,0.3,False,0.015,2026-08-26T14:14:54.937640+00:00
dns_benign_00097,192.168.1.233,8.8.8.8,docker.com,AAAA,NOERROR,149,2.9219,0.3333,False,0.015,2026-08-26T14:14:54.983640+00:00
dns_benign_00098,192.168.1.246,8.8.8.8,bing.com,CNAME,NOERROR,56,3.0,0.2857,False,0.015,2026-08-26T14:14:55.197640+00:00
dns_benign_00099,192.168.1.24,8.8.8.8,gitlab.com,AAAA,NOERROR,145,3.3219,0.3333,False,0.015,2026-08-26T14:14:55.332640+00:00
dns_benign_00100,192.168.1.42,8.8.8.8,salesforce.com,MX,NOERROR,105,3.2359,0.3846,False,0.015,2026-08-26T14:14:55.533640+00:00
dns_benign_00101,192.168.1.173,8.8.8.8,instacart.com,CNAME,NOERROR,75,3.2389,0.3333,False,0.015,2026-08-26T14:14:55.733640+00:00
dns_benign_00102,192.168.1.117,8.8.8.8,aliexpress.com,AAAA,NOERROR,112,3.5216,0.3846,False,0.015,2026-08-26T14:14:55.918640+00:00
dns_benign_00103,192.168.1.37,8.8.8.8,dropbox.com,AAAA,NOERROR,107,3.0272,0.3,False,0.015,2026-08-26T14:14:55.985640+00:00
dns_benign_00104,192.168.1.126,8.8.8.8,arstechnica.com,A,NOERROR,119,3.4566,0.3571,False,0.015,2026-08-26T14:14:56.162640+00:00
dns_benign_00105,192.168.1.158,8.8.8.8,canva.com,CNAME,NOERROR,53,2.7255,0.375,False,0.015,2026-08-26T14:14:56.419640+00:00
dns_benign_00106,192.168.1.93,8.8.8.8,hulu.com,CNAME,NOERROR,139,2.75,0.4286,False,0.015,2026-08-26T14:14:56.583640+00:00
dns_benign_00107,192.168.1.117,8.8.8.8,instacart.com,A,NOERROR,83,3.2389,0.3333,False,0.015,2026-08-26T14:14:56.799640+00:00
dns_benign_00108,192.168.1.107,8.8.8.8,cloudflare.com,A,NOERROR,165,3.3788,0.3846,False,0.015,2026-08-26T14:14:56.857640+00:00
dns_benign_00109,192.168.1.51,8.8.8.8,linkedin.com,MX,NOERROR,124,3.2516,0.3636,False,0.015,2026-08-26T14:14:57.025640+00:00
dns_benign_00110,192.168.1.240,8.8.8.8,azure.microsoft.com,CNAME,NOERROR,115,3.5766,0.4118,False,0.015,2026-08-26T14:14:57.200640+00:00
dns_benign_00111,192.168.1.102,8.8.8.8,figma.com,A,NOERROR,85,2.9477,0.375,False,0.015,2026-08-26T14:14:57.480640+00:00
dns_benign_00112,192.168.1.146,8.8.8.8,signal.org,AAAA,NOERROR,68,3.1219,0.3333,False,0.015,2026-08-26T14:14:57.575640+00:00
dns_benign_00113,192.168.1.175,8.8.8.8,arstechnica.com,A,NOERROR,152,3.4566,0.3571,False,0.015,2026-08-26T14:14:57.690640+00:00
dns_benign_00114,192.168.1.114,8.8.8.8,apple.com,MX,NOERROR,71,2.9477,0.375,False,0.015,2026-08-26T14:14:57.896640+00:00
dns_benign_00115,192.168.1.224,8.8.8.8,wordpress.org,AAAA,NOERROR,105,3.027,0.25,False,0.015,2026-08-26T14:14:58.014640+00:00
dns_benign_00116,192.168.1.100,8.8.8.8,cdnjs.cloudflare.com,CNAME,NOERROR,117,3.6842,0.2778,False,0.015,2026-08-26T14:14:58.067640+00:00
dns_benign_00117,192.168.1.179,8.8.8.8,stripe.com,CNAME,NOERROR,108,3.3219,0.3333,False,0.015,2026-08-26T14:14:58.321640+00:00
dns_benign_00118,192.168.1.67,8.8.8.8,azure.microsoft.com,CNAME,NOERROR,139,3.5766,0.4118,False,0.015,2026-08-26T14:14:58.363640+00:00
dns_benign_00119,192.168.1.242,8.8.8.8,trello.com,CNAME,NOERROR,130,2.9219,0.3333,False,0.015,2026-08-26T14:14:58.568640+00:00
dns_benign_00120,192.168.1.250,8.8.8.8,bing.com,MX,NOERROR,99,3.0,0.2857,False,0.015,2026-08-26T14:14:58.634640+00:00
dns_benign_00121,192.168.1.3,8.8.8.8,bloomberg.com,MX,NOERROR,172,3.027,0.3333,False,0.015,2026-08-26T14:14:58.844640+00:00
dns_benign_00122,192.168.1.139,8.8.8.8,weather.com,CNAME,NOERROR,100,3.2776,0.4,False,0.015,2026-08-26T14:14:59.133640+00:00
dns_benign_00123,192.168.1.37,8.8.8.8,airbnb.com,MX,NOERROR,149,3.1219,0.3333,False,0.015,2026-08-26T14:14:59.291640+00:00
dns_benign_00124,192.168.1.187,8.8.8.8,shopify.com,A,NOERROR,112,3.2776,0.3,False,0.015,2026-08-26T14:14:59.429640+00:00
dns_benign_00125,192.168.1.9,8.8.8.8,amazon.com,AAAA,NOERROR,107,2.7219,0.4444,False,0.015,2026-08-26T14:14:59.679640+00:00
dns_benign_00126,192.168.1.98,8.8.8.8,paypal.com,AAAA,NOERROR,153,2.9219,0.3333,False,0.015,2026-08-26T14:14:59.923640+00:00
dns_benign_00127,192.168.1.244,8.8.8.8,pinterest.com,AAAA,NOERROR,83,3.3927,0.3333,False,0.015,2026-08-26T14:14:59.971640+00:00
dns_benign_00128,192.168.1.115,8.8.8.8,paypal.com,CNAME,NOERROR,131,2.9219,0.3333,False,0.015,2026-08-26T14:15:00.042640+00:00
dns_benign_00129,192.168.1.28,8.8.8.8,cnn.com,MX,NOERROR,54,2.2359,0.1667,False,0.015,2026-08-26T14:15:00.093640+00:00
dns_benign_00130,192.168.1.242,8.8.8.8,airbnb.com,MX,NOERROR,51,3.1219,0.3333,False,0.015,2026-08-26T14:15:00.354640+00:00
dns_benign_00131,192.168.1.89,8.8.8.8,cisco.com,A,NOERROR,89,2.4194,0.375,False,0.015,2026-08-26T14:15:00.428640+00:00
dns_benign_00132,192.168.1.55,8.8.8.8,wikipedia.org,AAAA,NOERROR,109,3.3347,0.5,False,0.015,2026-08-26T14:15:00.487640+00:00
dns_benign_00133,192.168.1.10,8.8.8.8,bestbuy.com,MX,NOERROR,156,3.2776,0.3,False,0.015,2026-08-26T14:15:00.685640+00:00
dns_benign_00134,192.168.1.43,8.8.8.8,netlify.com,A,NOERROR,142,3.4594,0.3,False,0.015,2026-08-26T14:15:00.968640+00:00
dns_benign_00135,192.168.1.20,8.8.8.8,paramountplus.com,AAAA,NOERROR,105,3.4992,0.375,False,0.015,2026-08-26T14:15:01.101640+00:00
dns_benign_00136,192.168.1.190,8.8.8.8,etsy.com,A,NOERROR,85,3.0,0.2857,False,0.015,2026-08-26T14:15:01.259640+00:00
dns_benign_00137,192.168.1.168,8.8.8.8,archive.org,AAAA,NOERROR,73,3.2776,0.4,False,0.015,2026-08-26T14:15:01.492640+00:00
dns_benign_00138,192.168.1.88,8.8.8.8,digitalocean.com,AAAA,NOERROR,51,3.5,0.4667,False,0.015,2026-08-26T14:15:01.533640+00:00
dns_benign_00139,192.168.1.42,8.8.8.8,openai.com,AAAA,NOERROR,151,3.1219,0.5556,False,0.015,2026-08-26T14:15:01.818640+00:00
dns_benign_00140,192.168.1.16,8.8.8.8,vultr.com,AAAA,NOERROR,82,3.1699,0.25,False,0.015,2026-08-26T14:15:01.879640+00:00
dns_benign_00141,192.168.1.120,8.8.8.8,tripadvisor.com,MX,NOERROR,116,3.5069,0.3571,False,0.015,2026-08-26T14:15:02.038640+00:00
dns_benign_00142,192.168.1.201,8.8.8.8,techcrunch.com,A,NOERROR,125,3.0931,0.2308,False,0.015,2026-08-26T14:15:02.171640+00:00
dns_benign_00143,192.168.1.145,8.8.8.8,aliexpress.com,CNAME,NOERROR,170,3.5216,0.3846,False,0.015,2026-08-26T14:15:02.357640+00:00
dns_benign_00144,192.168.1.44,8.8.8.8,canva.com,AAAA,NOERROR,60,2.7255,0.375,False,0.015,2026-08-26T14:15:02.624640+00:00
dns_benign_00145,192.168.1.40,8.8.8.8,dropbox.com,AAAA,NOERROR,177,3.0272,0.3,False,0.015,2026-08-26T14:15:02.868640+00:00
dns_benign_00146,192.168.1.22,8.8.8.8,cisco.com,AAAA,NOERROR,152,2.4194,0.375,False,0.015,2026-08-26T14:15:02.921640+00:00
dns_benign_00147,192.168.1.76,8.8.8.8,supabase.io,CNAME,NOERROR,151,3.0958,0.6,False,0.015,2026-08-26T14:15:02.988640+00:00
dns_benign_00148,192.168.1.130,8.8.8.8,cdnjs.cloudflare.com,CNAME,NOERROR,80,3.6842,0.2778,False,0.015,2026-08-26T14:15:03.242640+00:00
dns_benign_00149,192.168.1.106,8.8.8.8,engadget.com,A,NOERROR,151,3.2516,0.3636,False,0.015,2026-08-26T14:15:03.420640+00:00
dns_benign_00150,192.168.1.111,8.8.8.8,airbnb.com,CNAME,NOERROR,157,3.1219,0.3333,False,0.015,2026-08-26T14:15:03.469640+00:00
dns_benign_00151,192.168.1.162,8.8.8.8,instacart.com,CNAME,NOERROR,132,3.2389,0.3333,False,0.015,2026-08-26T14:15:03.588640+00:00
dns_benign_00152,192.168.1.120,8.8.8.8,cdnjs.cloudflare.com,AAAA,NOERROR,160,3.6842,0.2778,False,0.015,2026-08-26T14:15:03.718640+00:00
dns_benign_00153,192.168.1.66,8.8.8.8,instacart.com,MX,NOERROR,171,3.2389,0.3333,False,0.015,2026-08-26T14:15:03.996640+00:00
dns_benign_00154,192.168.1.115,8.8.8.8,youtube.com,A,NOERROR,114,3.0958,0.5,False,0.015,2026-08-26T14:15:04.169640+00:00
dns_benign_00155,192.168.1.124,8.8.8.8,apache.org,MX,NOERROR,162,3.1219,0.4444,False,0.015,2026-08-26T14:15:04.422640+00:00
dns_benign_00156,192.168.1.24,8.8.8.8,forbes.com,AAAA,NOERROR,176,3.1219,0.3333,False,0.015,2026-08-26T14:15:04.489640+00:00
dns_benign_00157,192.168.1.118,8.8.8.8,target.com,AAAA,NOERROR,123,3.1219,0.3333,False,0.015,2026-08-26T14:15:04.785640+00:00
dns_benign_00158,192.168.1.135,8.8.8.8,cnn.com,A,NOERROR,79,2.2359,0.1667,False,0.015,2026-08-26T14:15:04.904640+00:00
dns_benign_00159,192.168.1.104,8.8.8.8,netlify.com,A,NOERROR,141,3.4594,0.3,False,0.015,2026-08-26T14:15:05.019640+00:00
dns_benign_00160,192.168.1.114,8.8.8.8,facebook.com,A,NOERROR,45,3.0221,0.4545,False,0.015,2026-08-26T14:15:05.190640+00:00
dns_benign_00161,192.168.1.223,8.8.8.8,salesforce.com,MX,NOERROR,64,3.2359,0.3846,False,0.015,2026-08-26T14:15:05.404640+00:00
dns_benign_00162,192.168.1.87,8.8.8.8,amazon.com,MX,NOERROR,146,2.7219,0.4444,False,0.015,2026-08-26T14:15:05.661640+00:00
dns_benign_00163,192.168.1.53,8.8.8.8,canva.com,A,NOERROR,147,2.7255,0.375,False,0.015,2026-08-26T14:15:05.706640+00:00
dns_benign_00164,192.168.1.122,8.8.8.8,centos.org,CNAME,NOERROR,61,3.1219,0.3333,False,0.015,2026-08-26T14:15:05.939640+00:00
dns_benign_00165,192.168.1.151,8.8.8.8,theverge.com,AAAA,NOERROR,76,3.1887,0.3636,False,0.015,2026-08-26T14:15:06.052640+00:00
dns_benign_00166,192.168.1.197,8.8.8.8,who.int,CNAME,NOERROR,79,2.8074,0.3333,False,0.015,2026-08-26T14:15:06.181640+00:00
dns_benign_00167,192.168.1.97,8.8.8.8,docker.com,CNAME,NOERROR,66,2.9219,0.3333,False,0.015,2026-08-26T14:15:06.405640+00:00
dns_benign_00168,192.168.1.6,8.8.8.8,canva.com,A,NOERROR,66,2.7255,0.375,False,0.015,2026-08-26T14:15:06.649640+00:00
dns_benign_00169,192.168.1.7,8.8.8.8,stripe.com,MX,NOERROR,45,3.3219,0.3333,False,0.015,2026-08-26T14:15:06.822640+00:00
dns_benign_00170,192.168.1.2,8.8.8.8,wired.com,MX,NOERROR,169,3.1699,0.375,False,0.015,2026-08-26T14:15:06.922640+00:00
dns_benign_00171,192.168.1.45,8.8.8.8,cdnjs.cloudflare.com,A,NOERROR,167,3.6842,0.2778,False,0.015,2026-08-26T14:15:07.014640+00:00
dns_benign_00172,192.168.1.28,8.8.8.8,tripadvisor.com,A,NOERROR,165,3.5069,0.3571,False,0.015,2026-08-26T14:15:07.293640+00:00
dns_benign_00173,192.168.1.74,8.8.8.8,wikipedia.org,AAAA,NOERROR,102,3.3347,0.5,False,0.015,2026-08-26T14:15:07.479640+00:00
dns_benign_00174,192.168.1.150,8.8.8.8,signal.org,CNAME,NOERROR,158,3.1219,0.3333,False,0.015,2026-08-26T14:15:07.736640+00:00
dns_benign_00175,192.168.1.181,8.8.8.8,cnbc.com,AAAA,NOERROR,120,2.4056,0.1429,False,0.015,2026-08-26T14:15:07.970640+00:00
